AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
SBBR,2019-01,ARR,6619,14827.7,4408.266666666666,10419.433333333332,1.5741703177720705
SBBR,2019-02,ARR,5804,15533.65,4192.433333333333,11342.216666666667,1.9545436268596703
SBBR,2019-03,ARR,5924,13825.116666666669,4103.716666666667,9723.383333333331,1.6421860046163372
SBBR,2019-04,ARR,5041,12506.95,3522.15,8991.083333333334,1.7867812665606784
SBBR,2019-05,ARR,5118,10496.883333333331,3370.766666666667,7132.016666666666,1.3959711620016964
SBBR,2019-06,ARR,5463,11326.116666666669,3562.166666666667,7763.95,1.4211879919458172
SBBR,2019-07,ARR,6705,14423.783333333333,4506.716666666667,9917.066666666666,1.4790554312701965
SBBR,2019-08,ARR,6368,15174.6,4120.25,11054.35,1.735921796482412
SBBR,2019-09,ARR,6293,14872.183333333332,4099.05,10773.133333333331,1.7119233010222998
SBBR,2019-10,ARR,6666,17739.3,4543.266666666666,13196.033333333333,1.9796029602960297
SBBR,2019-11,ARR,6583,19697.733333333337,4819.616666666667,14878.116666666669,2.2600815231150944
SBBR,2019-12,ARR,6685,20618.316666666666,4767.416666666667,15850.9,2.3711144353029168
SBBR,2020-01,ARR,6535,22410.983333333337,5065.533333333334,17345.45,2.654238714613619
SBBR,2020-02,ARR,5899,16969.116666666665,4258.283333333334,12710.833333333334,2.1547437418771542
SBBR,2020-03,ARR,4760,12857.233333333334,3284.7833333333333,9572.45,2.011018907563025
SBBR,2020-04,ARR,1080,3838.5166666666664,676.3833333333333,3162.133333333333,2.927901234567901
SBBR,2020-05,ARR,1358,6541.983333333334,967.2833333333332,5574.7,4.105081001472754
SBBR,2020-06,ARR,1764,5689.583333333333,1096.8666666666668,4592.716666666666,2.6035808767951623
SBBR,2020-07,ARR,2492,6423.25,1597.0833333333337,4826.166666666667,1.9366639914392725
SBBR,2020-08,ARR,3169,7640.75,2006.1833333333336,5634.566666666667,1.77802671715578
SBBR,2020-09,ARR,3797,9742.633333333331,2451.266666666667,7291.366666666667,1.920296725485032
SBBR,2020-10,ARR,4402,12497.316666666668,3060.6833333333334,9436.633333333331,2.143714978040285
SBBR,2020-11,ARR,4266,11666.216666666667,2981.7000000000003,8684.516666666666,2.035751679949992
SBBR,2020-12,ARR,5083,13790.05,3523.8,10266.25,2.019722604760968
SBBR,2021-01,ARR,4808,12380.15,3248.4833333333336,9131.666666666666,1.89926511369939
SBBR,2021-02,ARR,3970,10558.45,2913.4333333333334,7645.016666666666,1.9256968933669183
SBBR,2021-03,ARR,3689,8283.233333333334,2497.65,5785.583333333333,1.568333785126954
SBBR,2021-04,ARR,2974,6446.333333333333,1962.7,4483.633333333333,1.507610401255324
SBBR,2021-05,ARR,3742,8003.766666666666,2436.65,5567.116666666667,1.4877382861215036
SBBR,2021-06,ARR,4176,8779.55,2690.0333333333333,6089.516666666666,1.4582175925925926
SBBR,2021-07,ARR,4917,10974.433333333332,3241.7333333333336,7732.7,1.5726459223103515
SBBR,2021-08,ARR,5190,11132.866666666669,3314.6,7818.266666666666,1.5064097623635195
SBBR,2021-09,ARR,5442,12607.216666666667,3594.75,9012.466666666667,1.656094573073625
SBBR,2021-10,ARR,5521,13742.183333333332,3821.016666666667,9921.166666666666,1.7969872607619393
SBBR,2021-11,ARR,5000,13341.316666666668,3671.65,9669.666666666666,1.9339333333333333
SBBR,2021-12,ARR,6259,16600.6,4539.666666666667,12060.933333333332,1.926974490067636
SBCF,2019-01,ARR,4359,4875.333333333333,2293.8900000000003,2581.443333333333,0.5922099870000764
SBCF,2019-02,ARR,3863,4260.183333333333,2066.0233333333335,2194.16,0.5679937872120113
SBCF,2019-03,ARR,4008,4332.8,2110.94,2221.8599999999997,0.5543562874251496
SBCF,2019-04,ARR,3753,4006.55,2008.16,1999.523333333333,0.5330640718030747
SBCF,2019-05,ARR,3537,4106.65,1878.31,2228.8566666666666,0.6303327677224736
SBCF,2019-06,ARR,4018,4272.016666666666,2098.3033333333337,2173.713333333333,0.5409938609590177
SBCF,2019-07,ARR,4671,5038.966666666666,2474.79,2564.1766666666663,0.5489566830799971
SBCF,2019-08,ARR,4412,5037.7,2304.6533333333336,2733.0466666666666,0.6194575400423088
SBCF,2019-09,ARR,4234,4805.966666666666,2220.086666666667,2585.8799999999997,0.610741615493623
SBCF,2019-10,ARR,4384,4600.85,2309.826666666667,2291.023333333333,0.5225874391727493
SBCF,2019-11,ARR,4130,4358.633333333333,2202.5333333333333,2156.1,0.5220581113801452
SBCF,2019-12,ARR,4424,4980.733333333334,2383.866666666667,2596.8666666666663,0.5869951778179626
SBCF,2020-01,ARR,4597,5188.1,2561.3366666666666,2626.7633333333333,0.5714081647451236
SBCF,2020-02,ARR,3969,4343.666666666667,2160.25,2183.9333333333334,0.5503864247311827
SBCF,2020-03,ARR,2967,3364.4166666666665,1549.65,1814.7666666666669,0.6116503763622064
SBCF,2020-04,ARR,333,456.9666666666667,174.45000000000002,283.0333333333333,0.8525100401606426
