ICAO,YEAR,MOF,SRC_PHASE,N,EARLY,EARLY_M1505,EARLY_M0500,LATE_P0005,LATE_P0515,LATE,N_VALID
EDDF,2019,1,ARR,18794,1836,3672,2676,2600,3655,4355,18794
EDDF,2019,1,DEP,18882,81,1011,3212,4566,5167,4845,18882
EDDF,2019,2,ARR,18416,2391,4621,2937,2600,3073,2794,18416
EDDF,2019,2,DEP,18429,88,961,3441,5180,5328,3431,18429
EDDF,2019,3,ARR,21030,2141,4012,2875,2815,3826,5361,21030
EDDF,2019,3,DEP,21022,73,687,2666,4659,6277,6660,21022
EDDF,2019,4,ARR,21847,1547,3857,3357,3398,4448,5240,21847
EDDF,2019,4,DEP,21828,89,747,2918,5289,7061,5724,21828
EDDF,2019,5,ARR,23080,1461,3764,3210,3333,4674,6637,23079
EDDF,2019,5,DEP,23087,71,517,2155,4677,7531,8136,23087
EDDF,2019,6,ARR,22930,1672,3659,3023,3108,4542,6925,22929
EDDF,2019,6,DEP,22938,63,368,1818,4109,7171,9409,22938
EDDF,2019,7,ARR,23556,2109,4161,3326,3072,4362,6526,23556
EDDF,2019,7,DEP,23561,43,340,1846,4471,7287,9574,23561
EDDF,2019,8,ARR,23197,1868,4495,3507,3257,4180,5890,23197
EDDF,2019,8,DEP,23196,69,384,1926,4961,7671,8185,23196
EDDF,2019,9,ARR,23354,1788,3991,3404,3450,4911,5810,23354
EDDF,2019,9,DEP,23349,96,442,2052,5021,8069,7669,23349
EDDF,2019,10,ARR,22970,1925,3984,3411,3427,4698,5525,22970
EDDF,2019,10,DEP,22966,87,645,3017,5663,7204,6350,22966
EDDF,2019,11,ARR,19381,2724,4760,3114,2660,3163,2959,19380
EDDF,2019,11,DEP,19401,121,876,3552,5270,5759,3823,19401
EDDF,2019,12,ARR,18373,2191,4057,2676,2365,3174,3910,18373
EDDF,2019,12,DEP,18258,72,773,2593,4131,5447,5242,18258
EDDF,2020,1,ARR,18145,2372,4666,2848,2400,2836,3022,18144
EDDF,2020,1,DEP,18244,83,1220,3601,5058,4983,3299,18244
EDDF,2020,2,ARR,17930,2347,4287,2869,2448,2787,3191,17929
EDDF,2020,2,DEP,17927,94,868,3090,4881,5159,3835,17927
EDDF,2020,3,ARR,11443,2790,3444,1527,1144,1073,1465,11443
EDDF,2020,3,DEP,11396,174,1263,2803,3105,2328,1723,11396
EDDF,2020,4,ARR,3244,1167,705,273,187,235,677,3244
EDDF,2020,4,DEP,3260,314,810,687,447,326,676,3260
EDDF,2020,5,ARR,3885,1267,832,391,307,320,768,3885
EDDF,2020,5,DEP,3871,374,824,682,636,517,838,3871
EDDF,2020,6,ARR,4662,1568,1138,501,358,431,666,4662
EDDF,2020,6,DEP,4665,266,753,751,934,976,985,4665
EDDF,2020,7,ARR,7667,2008,2169,1077,723,809,881,7667
EDDF,2020,7,DEP,7697,163,876,1518,1717,1885,1538,7697
EDDF,2020,8,ARR,8844,2133,2559,1239,883,875,1155,8844
EDDF,2020,8,DEP,8842,106,966,1863,2182,2057,1668,8842
EDDF,2020,9,ARR,8458,2495,2606,1124,713,658,862,8458
EDDF,2020,9,DEP,8465,132,1257,2083,2129,1677,1187,8465
EDDF,2020,10,ARR,8544,2044,2567,1174,848,852,1059,8544
EDDF,2020,10,DEP,8551,156,1145,2139,2213,1643,1255,8551
EDDF,2020,11,ARR,6397,1911,1766,722,550,565,883,6397
EDDF,2020,11,DEP,6405,176,999,1432,1398,1219,1181,6405
EDDF,2020,12,ARR,6832,1456,1515,794,705,917,1445,6832
EDDF,2020,12,DEP,6795,156,739,963,1202,1650,2085,6795
EDDF,2021,1,ARR,6579,1168,1328,791,692,989,1611,6579
EDDF,2021,1,DEP,6618,151,739,981,1299,1494,1954,6618
EDDF,2021,2,ARR,5559,1106,1120,622,574,733,1404,5559
EDDF,2021,2,DEP,5556,113,661,768,962,1290,1762,5556
EDDF,2021,3,ARR,6834,1570,1561,894,679,905,1225,6834
EDDF,2021,3,DEP,6834,118,954,1067,1238,1736,1721,6834
EDDF,2021,4,ARR,7739,1438,1948,1033,913,1098,1309,7739
EDDF,2021,4,DEP,7737,162,1155,1423,1717,1825,1455,7737
EDDF,2021,5,ARR,8496,1804,2085,1180,931,1093,1403,8496
EDDF,2021,5,DEP,8473,194,1110,1343,1873,2150,1803,8473
EDDF,2021,6,ARR,9995,1882,2593,1405,1151,1373,1591,9995
EDDF,2021,6,DEP,10007,156,995,1604,2256,2621,2375,10007
EDDF,2021,7,ARR,13791,1942,2958,1975,1791,2256,2869,13791
EDDF,2021,7,DEP,13788,113,757,1729,2882,3815,4492,13788
EDDF,2021,8,ARR,14449,1414,2781,2052,1936,2703,3559,14445
EDDF,2021,8,DEP,14440,125,700,1628,2717,4059,5211,14440
EDDF,2021,9,ARR,14060,1595,2916,2119,2059,2544,2825,14058
EDDF,2021,9,DEP,14063,144,918,1968,2988,3900,4145,14063
