ICAO,YEAR,MOF,SRC_PHASE,N,N_VALID,TOT_TXXT,TOT_REF,TOT_ADD,AVG_ADD
EDDF,2019,201901,ARR,18794,18794,184513.4166666659,148037.3766666681,36476.03999999779,1.9408343088218472
EDDF,2019,201901,DEP,18882,18882,297379.6999999968,222847.16000000597,74532.53999999084,3.9472799491574433
EDDF,2019,201902,ARR,18418,18418,175460.16666666634,142457.7633333347,33002.40333333163,1.7918559742280178
EDDF,2019,201902,DEP,18431,18431,267262.49999999936,216720.1966666722,50542.303333327145,2.742244226212747
EDDF,2019,201903,ARR,21032,21032,201667.48333333372,165176.2366666678,36491.24666666592,1.7350345505261466
EDDF,2019,201903,DEP,21024,21024,312643.38333333173,247236.82666667493,65406.556666656805,3.111042459410997
EDDF,2019,201904,ARR,21851,21851,199722.5833333337,161016.19666666802,38706.38666666567,1.7713782740682655
EDDF,2019,201904,DEP,21832,21832,320540.10000000015,255239.12000000617,65300.979999994015,2.9910672407472525
EDDF,2019,201905,ARR,23088,23088,225133.95000000103,179376.11000000482,45757.83999999624,1.981888426888264
EDDF,2019,201905,DEP,23095,23095,343184.43333333224,268610.60000000824,74573.833333324,3.22900339178714
EDDF,2019,201906,ARR,22931,22930,221271.08333333195,175463.19333333374,45807.88999999821,1.9977274313126128
EDDF,2019,201906,DEP,22939,22939,337904.48333333334,268631.0400000059,69273.44333332742,3.019898135634832
EDDF,2019,201907,ARR,23560,23560,223232.9333333335,181314.16000000396,41918.77333332953,1.7792348613467543
EDDF,2019,201907,DEP,23565,23565,331501.2666666661,276971.70666667476,54529.559999991325,2.314006365372006
EDDF,2019,201908,ARR,23198,23198,219112.73333333145,181824.59666667008,37288.13666666139,1.6073858378593582
EDDF,2019,201908,DEP,23197,23197,325509.9166666682,273640.7533333407,51869.16333332751,2.236028940523667
EDDF,2019,201909,ARR,23359,23359,231390.4166666667,185255.1866666724,46135.229999994306,1.9750515861121751
EDDF,2019,201909,DEP,23354,23354,350437.2666666682,273895.8566666735,76541.40999999468,3.2774432645368963
EDDF,2019,201910,ARR,22971,22971,228467.43333333355,180947.35333333688,47520.07999999667,2.068698794131586
EDDF,2019,201910,DEP,22967,22967,350442.05000000267,270528.7766666735,79913.27333332918,3.4794824458278915
EDDF,2019,201911,ARR,19385,19385,186927.8666666666,149382.37000000203,37545.49666666458,1.9368324305733595
EDDF,2019,201911,DEP,19405,19405,289214.20000000164,229631.040000006,59583.15999999564,3.0705055398091026
EDDF,2019,201912,ARR,18375,18375,179704.43333333402,142724.20333333465,36980.22999999937,2.01252952380949
EDDF,2019,201912,DEP,18260,18260,274815.8166666652,217556.1366666736,57259.67999999158,3.135798466593186
EDDF,2020,202001,ARR,18146,18146,176377.38333333307,142959.266666668,33418.11666666507,1.841624416767611
EDDF,2020,202001,DEP,18245,18245,262292.2500000001,216925.7000000061,45366.54999999405,2.486519594409101
EDDF,2020,202002,ARR,17930,17930,173819.11666666745,141641.69000000088,32177.42666666658,1.794613868748833
EDDF,2020,202002,DEP,17927,17927,261815.23333333383,211270.47333334116,50544.759999992704,2.8194767668875276
EDDF,2020,202003,ARR,11443,11443,101396.04999999968,86466.79333333386,14929.256666665824,1.3046628215210891
EDDF,2020,202003,DEP,11396,11396,148370.14999999924,134892.41333333525,13477.736666663986,1.18267257517234
EDDF,2020,202004,ARR,3248,3248,24632.49999999999,18434.46333333341,6198.03666666658,1.9082625205254249
EDDF,2020,202004,DEP,3264,3264,42888.24999999995,41757.6866666667,1130.5633333332516,0.34637357026141286
EDDF,2020,202005,ARR,3887,3887,28393.700000000008,25593.373333333308,2800.3266666667005,0.7204339250493184
EDDF,2020,202005,DEP,3873,3873,48662.63333333333,46214.77000000009,2447.86333333324,0.6320328771838988
EDDF,2020,202006,ARR,4663,4663,33015.450000000084,30329.706666666356,2685.7433333337285,0.5759689756237891
EDDF,2020,202006,DEP,4666,4666,55544.716666666594,55542.5533333335,2.1633333330973983,4.636376624726529e-4
EDDF,2020,202007,ARR,7670,7670,57976.733333333366,50616.43333333379,7360.299999999574,0.959621903520153
EDDF,2020,202007,DEP,7700,7700,92503.90000000014,89000.0066666667,3503.8933333334426,0.4550510822510964
EDDF,2020,202008,ARR,8849,8849,74706.90000000017,61663.00666666753,13043.893333332642,1.4740528119937442
EDDF,2020,202008,DEP,8847,8847,112021.51666666674,102000.25666666625,10021.260000000504,1.1327297388945976
EDDF,2020,202009,ARR,8466,8466,68146.0000000001,57577.97666666752,10568.02333333258,1.248290022836355
EDDF,2020,202009,DEP,8473,8473,103897.71666666688,96047.0866666662,7850.630000000703,0.9265466776821318
EDDF,2020,202010,ARR,8549,8548,68585.9000000003,57312.38666666768,11273.513333332625,1.3188480736233763
EDDF,2020,202010,DEP,8556,8556,106045.08333333326,98540.51666666708,7504.5666666661855,0.8771115786192363
EDDF,2020,202011,ARR,6397,6397,53918.03333333347,44488.08333333337,9429.9500000001,1.4741206815695012
EDDF,2020,202011,DEP,6405,6405,81003.06666666667,77294.0766666671,3708.9899999995687,0.579077283372298
EDDF,2020,202012,ARR,6832,6832,57795.1166666668,46028.65666666716,11766.459999999644,1.722257025761072
EDDF,2020,202012,DEP,6795,6795,87961.73333333348,83741.56666666715,4220.166666666337,0.621069413784597
EDDF,2021,202101,ARR,6579,6579,53505.31666666678,44097.35333333349,9407.96333333329,1.4299989866747669
EDDF,2021,202101,DEP,6618,6618,93898.90000000031,81194.48000000026,12704.420000000056,1.9196766394681255
EDDF,2021,202102,ARR,5560,5560,45462.100000000006,37453.78999999982,8008.310000000187,1.4403435251798895
EDDF,2021,202102,DEP,5557,5557,75928.71666666679,68618.41333333356,7310.303333333228,1.3155125667326306
EDDF,2021,202103,ARR,6837,6837,54696.699999999946,45174.4733333337,9522.226666666247,1.3927492564964528
EDDF,2021,202103,DEP,6837,6837,85681.69999999991,84062.1133333336,1619.586666666306,0.23688557359460377
EDDF,2021,202104,ARR,7741,7741,61111.63333333355,51371.843333333425,9739.790000000125,1.258208241829237
EDDF,2021,202104,DEP,7739,7739,95100.16666666686,92926.59666666738,2173.569999999483,0.28085928414517164
EDDF,2021,202105,ARR,8500,8500,65297.51666666692,52881.30000000042,12416.2166666665,1.460731372549
EDDF,2021,202105,DEP,8477,8477,104389.75000000028,101668.4833333342,2721.2666666660807,0.32101765561709106
EDDF,2021,202106,ARR,9999,9999,82633.15000000024,69058.45666666761,13574.69333333263,1.3576050938426474
EDDF,2021,202106,DEP,10011,10011,125216.63333333364,121690.38666666744,3526.246666666193,0.352237205740305
EDDF,2021,202107,ARR,13796,13796,116457.0999999996,97288.45000000132,19168.649999998277,1.3894353435777238
EDDF,2021,202107,DEP,13793,13793,174725.43333333207,167146.52666667115,7578.906666660914,0.5494748543943242
EDDF,2021,202108,ARR,14453,14453,125809.63333333368,102295.5000000007,23514.133333332968,1.6269378906339838
EDDF,2021,202108,DEP,14444,14444,188075.5166666665,175231.45666666934,12844.059999997116,0.8892315148156409
EDDF,2021,202109,ARR,14066,14066,124241.26666666612,104278.1166666668,19963.14999999931,1.4192485425849075
EDDF,2021,202109,DEP,14069,14069,189752.75000000055,164703.70333333756,25049.046666663024,1.7804425806143311
EDDF,2021,202110,ARR,14998,14998,138482.93333333387,111258.61333333363,27224.320000000225,1.8151966928924008
EDDF,2021,202110,DEP,15006,15006,198552.46666666563,181186.60000000545,17365.86666666018,1.1572615398280806
EDDF,2021,202111,ARR,14440,14440,137113.50000000114,109329.63333333294,27783.866666668197,1.924090489381454
EDDF,2021,202111,DEP,14438,14438,191663.38333333295,174149.3766666699,17514.006666663045,1.2130493604836574
EDDF,2021,202112,ARR,13991,13991,129668.38333333375,102847.6700000004,26820.713333333348,1.9169975936911832
EDDF,2021,202112,DEP,13960,13960,188985.3333333328,168891.80000000322,20093.53333332957,1.4393648519577056
EDDF,2022,202201,ARR,12298,12298,113646.66666666704,90064.15999999984,23582.506666667192,1.9175887678213688
EDDF,2022,202201,DEP,12339,12339,167510.99999999962,149011.04333333607,18499.95666666355,1.4993076154196896
EDDF,2022,202202,ARR,11164,11164,98828.24999999996,81002.14666666648,17826.103333333493,1.5967487758270775
EDDF,2022,202202,DEP,11164,11164,144530.68333333344,134604.2800000019,9926.403333331546,0.8891439746803605
EDDF,2022,202203,ARR,13459,13459,112629.55000000012,90891.02333333332,21738.526666666803,1.615166555217089
EDDF,2022,202203,DEP,13478,13478,172874.1333333331,162234.06000000247,10640.073333330629,0.7894400751840501
EDDF,2022,202204,ARR,16177,16177,140638.3166666671,113232.67666666656,27405.640000000534,1.6941113927180895
EDDF,2022,202204,DEP,16163,16163,217172.84999999977,192063.65000000276,25109.199999996985,1.553498731670914
EDDF,2022,202205,ARR,18282,18282,161606.64999999988,129471.95333333376,32134.696666666117,1.7577232614957947
EDDF,2022,202205,DEP,18283,18283,238177.60000000015,216077.8100000081,22099.789999992092,1.2087616911881032
EDDF,2022,202206,ARR,17942,17942,163655.16666666695,128291.08333333366,35364.083333333285,1.9710223683721595
