ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBBR,2019-01-01T00:00:00Z,ARR,5283,166607.78456293698,447937.1313816336
SBBR,2019-01-01T00:00:00Z,DEP,5282,205440.3990470037,976724.6363504109
SBBR,2019-02-01T00:00:00Z,ARR,4710,163148.70479999832,429071.20319999947
SBBR,2019-02-01T00:00:00Z,DEP,4668,198741.35015554054,867592.3085975434
SBBR,2019-03-01T00:00:00Z,ARR,5119,176535.43439999907,453297.8987999977
SBBR,2019-03-01T00:00:00Z,DEP,5094,236910.230535111,975616.2350659629
SBBR,2019-04-01T00:00:00Z,ARR,4803,119044.81100333508,378052.7602447343
SBBR,2019-04-01T00:00:00Z,DEP,4742,230027.24249494905,923200.145474158
SBBR,2019-05-01T00:00:00Z,ARR,4807,86512.3241999999,340617.33119999914
SBBR,2019-05-01T00:00:00Z,DEP,4762,199723.32138177525,903118.181226861
SBBR,2019-06-01T00:00:00Z,ARR,4426,62003.09880000003,294916.28639999824
SBBR,2019-06-01T00:00:00Z,DEP,4405,164156.07192500998,817396.576930093
SBBR,2019-07-01T00:00:00Z,ARR,2671,37741.567200000005,185283.61199999964
SBBR,2019-07-01T00:00:00Z,DEP,5206,199907.16677097752,970578.0760481772
SBBR,2019-08-01T00:00:00Z,ARR,4775,170058.72719999918,415506.8507999989
SBBR,2019-08-01T00:00:00Z,DEP,4730,246391.56600000017,939188.6379599979
SBBR,2019-09-01T00:00:00Z,ARR,4848,73178.48519999985,326562.74160000007
SBBR,2019-09-01T00:00:00Z,DEP,4824,216356.0559788732,917207.1109133873
SBBR,2019-10-01T00:00:00Z,ARR,5116,220811.87759999922,494845.93440000014
SBBR,2019-10-01T00:00:00Z,DEP,5071,280189.4946546736,1011879.131889138
SBBR,2019-11-01T00:00:00Z,ARR,5125,114405.76199999973,403918.13639999984
SBBR,2019-11-01T00:00:00Z,DEP,5040,267261.03844248067,991888.2478271344
SBBR,2019-12-01T00:00:00Z,ARR,5192,202414.10639999973,490712.33279999986
SBBR,2019-12-01T00:00:00Z,DEP,5082,248121.22429274317,980502.3824399094
SBBR,2020-01-01T00:00:00Z,ARR,5314,299649.37679999915,609674.767200001
SBBR,2020-01-01T00:00:00Z,DEP,5264,341909.58004526916,1084454.2706122363
SBBR,2020-02-01T00:00:00Z,ARR,4669,99029.36879999975,352816.555199999
SBBR,2020-02-01T00:00:00Z,DEP,4601,216441.85559999905,876924.9591799984
SBBR,2020-03-01T00:00:00Z,ARR,3676,81851.81280000001,278925.84960000037
SBBR,2020-03-01T00:00:00Z,DEP,3630,167301.5099999997,695776.0575000009
SBBR,2020-04-01T00:00:00Z,ARR,512,5852.0583525875,39836.87221902524
SBBR,2020-04-01T00:00:00Z,DEP,240,4094.131199999999,39552.94148000002
SBBR,2020-05-01T00:00:00Z,ARR,290,5616.62788146876,21321.114065106347
SBBR,2020-05-01T00:00:00Z,DEP,293,7930.4159999999965,53028.34852
SBBR,2020-06-01T00:00:00Z,ARR,486,4306.655999999999,35462.38799999997
SBBR,2020-06-01T00:00:00Z,DEP,480,7754.256470806654,74217.65210202541
SBBR,2020-07-01T00:00:00Z,ARR,1099,12271.217225620843,73991.76326682714
SBBR,2020-07-01T00:00:00Z,DEP,1093,39040.743089762174,187820.95946052537
SBBR,2020-08-01T00:00:00Z,ARR,1622,22306.76216093341,108957.87471585478
SBBR,2020-08-01T00:00:00Z,DEP,1618,72130.29599999994,292438.1770800002
SBBR,2020-09-01T00:00:00Z,ARR,2451,41135.01127680002,166442.06159040015
SBBR,2020-09-01T00:00:00Z,DEP,2421,147734.01846719978,472907.6258043209
SBBR,2020-10-01T00:00:00Z,ARR,3103,57439.99032030427,221448.57807888795
SBBR,2020-10-01T00:00:00Z,DEP,3094,198175.33771419313,615424.5922505208
SBBR,2020-11-01T00:00:00Z,ARR,3103,65479.84955769168,230570.42903049375
SBBR,2020-11-01T00:00:00Z,DEP,3051,159200.68688175228,574108.8115184599
SBBR,2020-12-01T00:00:00Z,ARR,3719,76565.0479402333,272129.10779398814
SBBR,2020-12-01T00:00:00Z,DEP,3645,189531.49073452837,685341.5379340837
SBBR,2021-01-01T00:00:00Z,ARR,3666,70874.13210350012,261674.11064872905
SBBR,2021-01-01T00:00:00Z,DEP,3604,169427.396280893,656085.9299831697
SBBR,2021-02-01T00:00:00Z,ARR,2796,56663.078676458405,210080.68071485203
SBBR,2021-02-01T00:00:00Z,DEP,2710,97644.98109506343,469029.09517917037
SBBR,2021-03-01T00:00:00Z,ARR,2399,36009.64141902534,161814.85463837982
SBBR,2021-03-01T00:00:00Z,DEP,2342,84514.28554751752,407090.6577373187
SBBR,2021-04-01T00:00:00Z,ARR,1679,22070.372653410926,111293.58427107689
SBBR,2021-04-01T00:00:00Z,DEP,1683,59421.79848749501,287314.4425396236
SBBR,2021-05-01T00:00:00Z,ARR,2318,31123.659624460546,151733.09138073836
SBBR,2021-05-01T00:00:00Z,DEP,2292,80853.85817897307,399794.3042955745
SBBR,2021-06-01T00:00:00Z,ARR,2666,41611.11839498963,179657.50155625245
SBBR,2021-06-01T00:00:00Z,DEP,2595,95710.46513173985,456669.8622213278
SBBR,2021-07-01T00:00:00Z,ARR,3481,54032.100206341755,235421.8043068355
SBBR,2021-07-01T00:00:00Z,DEP,3434,120386.44979964446,592857.5623375486
SBBR,2021-08-01T00:00:00Z,ARR,3522,61608.10176760431,240992.6911091549
SBBR,2021-08-01T00:00:00Z,DEP,3482,136253.68875912626,614562.467336552
SBBR,2021-09-01T00:00:00Z,ARR,3912,72856.73523934824,275225.591404298
SBBR,2021-09-01T00:00:00Z,DEP,3885,155899.3334219764,690011.152906556
SBBR,2021-10-01T00:00:00Z,ARR,4031,89198.41318797493,302474.319980617
SBBR,2021-10-01T00:00:00Z,DEP,4003,166272.1760371318,710389.7786867762
SBBR,2021-11-01T00:00:00Z,ARR,4181,86279.74444306055,316287.9208857786
SBBR,2021-11-01T00:00:00Z,DEP,4154,183813.7882046234,749039.3001452006
SBBR,2021-12-01T00:00:00Z,ARR,4680,102750.65093287555,358783.41709979315
SBBR,2021-12-01T00:00:00Z,DEP,4626,212150.79532439794,852937.5238997927
SBBR,2022-01-01T00:00:00Z,ARR,4528,88139.42156769201,337750.25202758535
SBBR,2022-01-01T00:00:00Z,DEP,4492,176140.10369474688,799235.9895646936
SBBR,2022-02-01T00:00:00Z,ARR,3520,72791.08230955253,266343.9031451298
SBBR,2022-02-01T00:00:00Z,DEP,3465,147627.4328776819,625212.9560977798
SBBR,2022-03-01T00:00:00Z,ARR,3859,70845.45600999238,267086.1828940812
SBBR,2022-03-01T00:00:00Z,DEP,3827,168353.10782536687,704169.4805925187
SBBR,2022-04-01T00:00:00Z,ARR,3607,64671.54050606123,246155.01691824067
SBBR,2022-04-01T00:00:00Z,DEP,3581,153349.57245088174,651097.1534779106
SBBR,2022-05-01T00:00:00Z,ARR,3921,71348.79106875687,270825.9110603677
SBBR,2022-05-01T00:00:00Z,DEP,3889,175916.73785740498,714042.2869173671
SBBR,2022-06-01T00:00:00Z,ARR,3711,64182.899449721415,246564.35221562264
SBBR,2022-06-01T00:00:00Z,DEP,3675,151473.19835515742,664351.9746439506
