ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBCF,2019-01-01T00:00:00Z,ARR,4243,74827.77119999999,187976.29440000013
SBCF,2019-01-01T00:00:00Z,DEP,4202,184591.78231077723,634230.1696904819
SBCF,2019-02-01T00:00:00Z,ARR,3810,76294.19039999996,177333.89040000003
SBCF,2019-02-01T00:00:00Z,DEP,3777,182799.31800000023,585779.0318399991
SBCF,2019-03-01T00:00:00Z,ARR,3997,78003.19919999994,185218.20239999957
SBCF,2019-03-01T00:00:00Z,DEP,3958,159304.18645059053,583881.9453973721
SBCF,2019-04-01T00:00:00Z,ARR,3875,70156.79313795685,174127.3728671304
SBCF,2019-04-01T00:00:00Z,DEP,3850,179202.9970989432,591432.6180862307
SBCF,2019-05-01T00:00:00Z,ARR,4002,62023.343999999815,168375.90839999984
SBCF,2019-05-01T00:00:00Z,DEP,3977,175981.53360000014,600870.78792
SBCF,2019-06-01T00:00:00Z,ARR,3961,63772.43520000011,169541.97900000052
SBCF,2019-06-01T00:00:00Z,DEP,3939,182344.2845999995,607262.6105599985
SBCF,2019-07-01T00:00:00Z,ARR,2314,34529.0052,96677.17919999998
SBCF,2019-07-01T00:00:00Z,DEP,4471,222054.5375999997,708184.2213999993
SBCF,2019-08-01T00:00:00Z,ARR,4228,120610.86600000017,232229.17560000045
SBCF,2019-08-01T00:00:00Z,DEP,4212,192675.02461775034,644403.0313174569
SBCF,2019-09-01T00:00:00Z,ARR,4076,67541.6747999999,173486.5535999995
SBCF,2019-09-01T00:00:00Z,DEP,4067,139178.26799999998,571177.6922000009
SBCF,2019-10-01T00:00:00Z,ARR,4236,92185.15439999994,202835.20319999993
SBCF,2019-10-01T00:00:00Z,DEP,4180,146781.38400000005,592655.0757599986
SBCF,2019-11-01T00:00:00Z,ARR,3975,52284.67019999973,158600.62020000047
SBCF,2019-11-01T00:00:00Z,DEP,3920,118915.45440000013,538858.5759200011
SBCF,2019-12-01T00:00:00Z,ARR,4104,80418.9192,192281.64360000036
