ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBCT,2019-01-01T00:00:00Z,ARR,2438,49493.33699999993,125759.38259999992
SBCT,2019-01-01T00:00:00Z,DEP,2414,98546.81880000011,337184.39605999977
SBCT,2019-02-01T00:00:00Z,ARR,2396,50496.652200000026,115408.0985999999
SBCT,2019-02-01T00:00:00Z,DEP,2345,119182.43647692987,355091.2808130662
SBCT,2019-03-01T00:00:00Z,ARR,2491,52912.11300000007,120593.82240000008
SBCT,2019-03-01T00:00:00Z,DEP,2453,120726.2166000002,368019.85580000037
SBCT,2019-04-01T00:00:00Z,ARR,2396,36033.506100810926,99315.2255972436
SBCT,2019-04-01T00:00:00Z,DEP,2369,118541.87700000014,355936.2642399996
SBCT,2019-05-01T00:00:00Z,ARR,2392,37533.71914621625,106565.15468805417
SBCT,2019-05-01T00:00:00Z,DEP,2372,114247.01159999997,349242.0738600003
SBCT,2019-06-01T00:00:00Z,ARR,2306,35512.87291394594,101581.2143310815
SBCT,2019-06-01T00:00:00Z,DEP,2282,105709.49512307008,333871.6956992065
SBCT,2019-07-01T00:00:00Z,ARR,1320,21329.13816000001,63993.86208000004
SBCT,2019-07-01T00:00:00Z,DEP,2564,111316.23719999987,363916.4475999998
SBCT,2019-08-01T00:00:00Z,ARR,2575,78283.20659999974,147610.62839999972
SBCT,2019-08-01T00:00:00Z,DEP,2561,112426.45320000002,374375.50896000065
SBCT,2019-09-01T00:00:00Z,ARR,2589,47486.11560000012,114510.33479999985
SBCT,2019-09-01T00:00:00Z,DEP,2552,92053.22580000007,347461.18660000054
SBCT,2019-10-01T00:00:00Z,ARR,2668,84206.06772480001,151526.49699840017
SBCT,2019-10-01T00:00:00Z,DEP,2637,116594.19893280005,377013.69625040004
SBCT,2019-11-01T00:00:00Z,ARR,2605,35526.19570080003,97167.13427520011
SBCT,2019-11-01T00:00:00Z,DEP,2570,85353.91577279994,345627.1746305603
SBCT,2019-12-01T00:00:00Z,ARR,2673,66864.39632558932,135205.60873923288
SBCT,2019-12-01T00:00:00Z,DEP,2628,81545.40895680002,342814.8517414398
SBCT,2020-01-01T00:00:00Z,ARR,2582,103543.19375040002,172378.00914720006
SBCT,2020-01-01T00:00:00Z,DEP,2555,87387.34149599994,339076.26978703914
SBCT,2020-02-01T00:00:00Z,ARR,2278,35266.922164800075,90866.23221119994
SBCT,2020-02-01T00:00:00Z,DEP,2248,73139.15342880007,300994.70742383983
SBCT,2020-03-01T00:00:00Z,ARR,1703,25883.054452800017,65442.977567999944
SBCT,2020-03-01T00:00:00Z,DEP,1713,48722.65257120002,223110.49206192017
SBCT,2020-04-01T00:00:00Z,ARR,268,7941.0300000000025,18409.435199999993
SBCT,2020-04-01T00:00:00Z,DEP,130,2362.6193999999996,21202.785800000005
SBCT,2020-05-01T00:00:00Z,ARR,144,2565.363000000001,10495.044000000002
SBCT,2020-05-01T00:00:00Z,DEP,149,6063.5981999999985,28724.180140000015
SBCT,2020-06-01T00:00:00Z,ARR,218,4902.414632270262,15608.546645027121
SBCT,2020-06-01T00:00:00Z,DEP,219,6928.085399999996,38177.29526
SBCT,2020-07-01T00:00:00Z,ARR,251,10044.438600000001,20508.470400000002
SBCT,2020-07-01T00:00:00Z,DEP,246,705.2658000000006,30776.334899999994
SBCT,2020-08-01T00:00:00Z,ARR,344,6277.158,16503.77639999999
SBCT,2020-08-01T00:00:00Z,DEP,341,7507.5876000000035,46391.776459999994
SBCT,2020-09-01T00:00:00Z,ARR,506,10233.937199999997,25967.355000000003
SBCT,2020-09-01T00:00:00Z,DEP,492,9788.853,68128.32277999993
SBCT,2020-10-01T00:00:00Z,ARR,904,9766.155470918957,33671.3076880541
SBCT,2020-10-01T00:00:00Z,DEP,892,18546.523073440483,117917.83795409475
SBCT,2020-11-01T00:00:00Z,ARR,1098,13047.929713945956,42032.27206654068
SBCT,2020-11-01T00:00:00Z,DEP,1095,24961.151360574942,143818.07591607486
SBCT,2020-12-01T00:00:00Z,ARR,1202,14796.355638648687,49649.04139835683
