ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBGL,2019-01-01T00:00:00Z,ARR,4432,264926.17460177344,526202.3834135766
SBGL,2019-01-01T00:00:00Z,DEP,4422,324781.5457949143,1101846.2827744714
SBGL,2019-02-01T00:00:00Z,ARR,3498,230801.3363479702,445917.7835939486
SBGL,2019-02-01T00:00:00Z,DEP,3495,274561.00798476924,897116.2884636187
SBGL,2019-03-01T00:00:00Z,ARR,3676,284207.95122671797,510333.8337958217
SBGL,2019-03-01T00:00:00Z,DEP,3601,294875.11906131386,924229.2074148683
SBGL,2019-04-01T00:00:00Z,ARR,3001,172907.440782511,345695.75452720263
SBGL,2019-04-01T00:00:00Z,DEP,2974,217141.1482692547,742048.4799161331
SBGL,2019-05-01T00:00:00Z,ARR,3023,155853.6846984449,328496.4955570313
SBGL,2019-05-01T00:00:00Z,DEP,2982,251446.96264442592,807387.7344062647
SBGL,2019-06-01T00:00:00Z,ARR,2906,152633.51205885343,316947.34240842756
SBGL,2019-06-01T00:00:00Z,DEP,2862,196407.2211250707,690813.8199982453
SBGL,2019-07-01T00:00:00Z,ARR,1904,103718.50860000004,222840.89459999983
SBGL,2019-07-01T00:00:00Z,DEP,3718,246702.1188542505,898158.4437940089
SBGL,2019-08-01T00:00:00Z,ARR,4250,310973.0273999997,554384.2433999996
SBGL,2019-08-01T00:00:00Z,DEP,4200,269846.4632676379,972268.8652720285
SBGL,2019-09-01T00:00:00Z,ARR,5704,241781.5959567638,557024.1933860567
SBGL,2019-09-01T00:00:00Z,DEP,5640,347748.6498147367,1248819.1599369345
SBGL,2019-10-01T00:00:00Z,ARR,3545,282737.6527704402,499115.9155899688
SBGL,2019-10-01T00:00:00Z,DEP,3492,248940.7273283665,860681.2387960064
SBGL,2019-11-01T00:00:00Z,ARR,3507,241863.82887376682,454352.9589225886
SBGL,2019-11-01T00:00:00Z,DEP,3476,225534.43674936405,828779.4632067357
SBGL,2019-12-01T00:00:00Z,ARR,3966,252800.31808222475,484797.0279927873
SBGL,2019-12-01T00:00:00Z,DEP,3895,262361.72908425884,933544.6365950396
SBGL,2020-01-01T00:00:00Z,ARR,3485,215592.92126286367,394818.88718319254
SBGL,2020-01-01T00:00:00Z,DEP,3416,169394.07969376462,689945.5879541741
SBGL,2020-02-01T00:00:00Z,ARR,3109,124311.67031943324,288570.98770552594
SBGL,2020-02-01T00:00:00Z,DEP,3055,151527.04252640612,616214.0399620781
SBGL,2020-03-01T00:00:00Z,ARR,2066,63574.11900000006,171987.00540000026
SBGL,2020-03-01T00:00:00Z,DEP,2034,78871.03339308997,389173.046926911
SBGL,2020-04-01T00:00:00Z,ARR,247,1801.8911999999991,16837.320000000003
SBGL,2020-04-01T00:00:00Z,DEP,125,1864.2335999999996,31008.2004
SBGL,2020-05-01T00:00:00Z,ARR,159,1115.745000000001,10197.505799999999
SBGL,2020-05-01T00:00:00Z,DEP,162,593.8698000000002,36118.395079999995
SBGL,2020-06-01T00:00:00Z,ARR,280,3422.7113999999983,17867.23260000001
SBGL,2020-06-01T00:00:00Z,DEP,301,5688.581999999998,65027.19028
SBGL,2020-07-01T00:00:00Z,ARR,472,5580.432599999999,29294.090999999997
SBGL,2020-07-01T00:00:00Z,DEP,491,13567.042199999993,109161.68120000002
SBGL,2020-08-01T00:00:00Z,ARR,709,11225.531999999983,45806.595599999964
SBGL,2020-08-01T00:00:00Z,DEP,716,42866.693399999946,176643.60586000027
SBGL,2020-09-01T00:00:00Z,ARR,753,11795.485799999986,49340.13840000001
SBGL,2020-09-01T00:00:00Z,DEP,778,45801.061800000025,185413.16611999983
SBGL,2020-10-01T00:00:00Z,ARR,1039,22499.615160408015,75193.68097017241
SBGL,2020-10-01T00:00:00Z,DEP,1040,60820.858348447575,245236.31196019804
SBGL,2020-11-01T00:00:00Z,ARR,876,17437.79509846892,58176.957009033205
SBGL,2020-11-01T00:00:00Z,DEP,885,55381.31891854193,214111.9982055431
SBGL,2020-12-01T00:00:00Z,ARR,1135,27762.12036642923,80807.63168835809
SBGL,2020-12-01T00:00:00Z,DEP,1127,56177.93619492305,257275.0313498743
SBGL,2021-01-01T00:00:00Z,ARR,1150,21929.62963940403,79499.49654996842
SBGL,2021-01-01T00:00:00Z,DEP,1146,41762.05847089732,242638.69901416136
SBGL,2021-02-01T00:00:00Z,ARR,744,13595.318762448092,48935.296011269704
SBGL,2021-02-01T00:00:00Z,DEP,740,21812.805117028027,157959.42121078822
SBGL,2021-03-01T00:00:00Z,ARR,533,9559.552182511423,35990.25301180442
SBGL,2021-03-01T00:00:00Z,DEP,512,3089.230120755879,100520.7219017607
SBGL,2021-04-01T00:00:00Z,ARR,400,8951.474715666533,29215.837564488156
SBGL,2021-04-01T00:00:00Z,DEP,385,6632.721257164952,79387.95650357826
SBGL,2021-05-01T00:00:00Z,ARR,614,11410.95030590222,40272.14316448817
SBGL,2021-05-01T00:00:00Z,DEP,596,12254.066017651005,119124.18953616172
SBGL,2021-06-01T00:00:00Z,ARR,685,13263.361779669332,44659.75626754826
SBGL,2021-06-01T00:00:00Z,DEP,665,22050.907992224973,140073.1599577943
SBGL,2021-07-01T00:00:00Z,ARR,1208,26066.63818739357,86016.45067323235
SBGL,2021-07-01T00:00:00Z,DEP,1174,44466.84905403434,248749.54497148187
SBGL,2021-08-01T00:00:00Z,ARR,1173,20198.02583186776,73165.69228068934
SBGL,2021-08-01T00:00:00Z,DEP,1157,44010.517878379134,246382.7917829436
SBGL,2021-09-01T00:00:00Z,ARR,1429,26075.10133058037,89929.08496963787
SBGL,2021-09-01T00:00:00Z,DEP,1420,52548.86160874313,298693.5233262476
SBGL,2021-10-01T00:00:00Z,ARR,1335,25209.18719999999,91532.14922929314
SBGL,2021-10-01T00:00:00Z,DEP,1337,48966.359523454055,279305.46179615275
SBGL,2021-11-01T00:00:00Z,ARR,1357,25754.22865831861,87011.89844952525
SBGL,2021-11-01T00:00:00Z,DEP,1348,36906.023508284896,269597.1383772982
SBGL,2021-12-01T00:00:00Z,ARR,1709,32247.78451282446,109584.49548858237
SBGL,2021-12-01T00:00:00Z,DEP,1735,65971.3332706556,364231.7681496867
SBGL,2022-01-01T00:00:00Z,ARR,1786,34186.464370608424,114242.7312810271
SBGL,2022-01-01T00:00:00Z,DEP,1796,72115.25091151877,376404.94373772404
SBGL,2022-02-01T00:00:00Z,ARR,1439,31719.81627216311,95276.00407046052
SBGL,2022-02-01T00:00:00Z,DEP,1426,44500.886896782045,285281.75438648864
SBGL,2022-03-01T00:00:00Z,ARR,1476,34483.708970073734,106358.22894111817
SBGL,2022-03-01T00:00:00Z,DEP,1483,49682.54085315931,300769.2187111643
SBGL,2022-04-01T00:00:00Z,ARR,1008,26064.533999197993,71065.38014566284
SBGL,2022-04-01T00:00:00Z,DEP,1024,22006.903367880186,197785.92942726833
SBGL,2022-05-01T00:00:00Z,ARR,1009,40371.099604080155,121335.42540451621
SBGL,2022-05-01T00:00:00Z,DEP,1003,25461.764884424138,204214.94006632603
SBGL,2022-06-01T00:00:00Z,ARR,982,23835.409123123452,67897.47420896232
SBGL,2022-06-01T00:00:00Z,DEP,982,14327.900220781663,185291.58219454184
