ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBGR,2019-01-01T00:00:00Z,ARR,11923,812392.4771666873,1817905.0642334362
SBGR,2019-01-01T00:00:00Z,DEP,12096,1189953.9675662534,3308550.574982739
SBGR,2019-02-01T00:00:00Z,ARR,10469,774848.0626454904,1654594.3526726696
SBGR,2019-02-01T00:00:00Z,DEP,10496,957776.7138571724,2838190.777215472
SBGR,2019-03-01T00:00:00Z,ARR,11106,843060.7829866203,1798373.597458925
SBGR,2019-03-01T00:00:00Z,DEP,11035,905194.320459408,2783613.013433667
SBGR,2019-04-01T00:00:00Z,ARR,10350,604889.2901347585,1482423.1856836018
SBGR,2019-04-01T00:00:00Z,DEP,10331,801496.5713687461,2567531.4729445823
SBGR,2019-05-01T00:00:00Z,ARR,9489,580436.3464834339,1394850.8241261672
SBGR,2019-05-01T00:00:00Z,DEP,9470,587442.3293595477,2273164.9634426627
SBGR,2019-06-01T00:00:00Z,ARR,9571,535074.2683476788,1361791.2853318367
SBGR,2019-06-01T00:00:00Z,DEP,9513,556917.604200004,2214034.121160008
SBGR,2019-07-01T00:00:00Z,ARR,5769,293784.1752848896,770359.93696569
SBGR,2019-07-01T00:00:00Z,DEP,11201,745562.5861363894,2625168.956386584
SBGR,2019-08-01T00:00:00Z,ARR,11052,716574.2212605146,1678419.2465363883
SBGR,2019-08-01T00:00:00Z,DEP,11101,733061.0757562069,2549408.8782160645
SBGR,2019-09-01T00:00:00Z,ARR,10967,567464.8091363981,1513080.5151382033
SBGR,2019-09-01T00:00:00Z,DEP,10945,700452.2855999982,2480199.380119993
SBGR,2019-10-01T00:00:00Z,ARR,11057,766948.3630364899,1738376.8538546672
SBGR,2019-10-01T00:00:00Z,DEP,11059,760492.8689316615,2525732.544739997
SBGR,2019-11-01T00:00:00Z,ARR,10845,626326.1235548718,1558111.1012986302
SBGR,2019-11-01T00:00:00Z,DEP,10874,815284.908755085,2628506.2217954197
SBGR,2019-12-01T00:00:00Z,ARR,12244,938767.679134941,1950002.6198044475
SBGR,2019-12-01T00:00:00Z,DEP,12237,1220980.3854783778,3314828.2396375416
SBGR,2020-01-01T00:00:00Z,ARR,11242,963584.3646054522,1764326.6136638632
SBGR,2020-01-01T00:00:00Z,DEP,11188,1045832.1733249679,2747845.1063954476
SBGR,2020-02-01T00:00:00Z,ARR,9900,366618.1475323004,1081785.9413429443
SBGR,2020-02-01T00:00:00Z,DEP,9825,713879.6174351445,2205028.2605556515
SBGR,2020-03-01T00:00:00Z,ARR,7864,264925.38412224926,880528.075036109
SBGR,2020-03-01T00:00:00Z,DEP,7831,370753.73219695885,1495636.591184462
SBGR,2020-04-01T00:00:00Z,ARR,2464,53252.67815267705,252570.62153178375
SBGR,2020-04-01T00:00:00Z,DEP,1257,24162.969305189632,232985.57457883545
SBGR,2020-05-01T00:00:00Z,ARR,1512,40541.78604403915,156384.000343068
SBGR,2020-05-01T00:00:00Z,DEP,1501,31950.5112163241,310644.53902479005
SBGR,2020-06-01T00:00:00Z,ARR,1847,40362.118370788565,189650.90954328072
SBGR,2020-06-01T00:00:00Z,DEP,1844,58528.366177469674,362073.8879908707
SBGR,2020-07-01T00:00:00Z,ARR,2860,50326.10436487067,264656.18681906135
SBGR,2020-07-01T00:00:00Z,DEP,2875,109719.59927825129,546124.4275571681
SBGR,2020-08-01T00:00:00Z,ARR,3865,57184.31728073146,358370.3563599997
SBGR,2020-08-01T00:00:00Z,DEP,3897,150622.81096209856,680382.4318170144
SBGR,2020-09-01T00:00:00Z,ARR,4793,82781.67968126733,455757.0142160414
SBGR,2020-09-01T00:00:00Z,DEP,4796,168381.64562922379,842822.3384380859
SBGR,2020-10-01T00:00:00Z,ARR,5879,104151.83411576033,548879.7334783414
SBGR,2020-10-01T00:00:00Z,DEP,5854,253825.80435930635,1090289.0642078705
SBGR,2020-11-01T00:00:00Z,ARR,6262,133894.6500701454,625429.6946135585
SBGR,2020-11-01T00:00:00Z,DEP,6266,275904.8607356139,1150749.9778865057
SBGR,2020-12-01T00:00:00Z,ARR,7391,223973.2234038792,780609.4246828982
SBGR,2020-12-01T00:00:00Z,DEP,7373,371463.7430295201,1481162.309946335
SBGR,2021-01-01T00:00:00Z,ARR,7414,187331.87250948575,735588.2124740141
SBGR,2021-01-01T00:00:00Z,DEP,7344,348440.85719458,1434343.537732361
SBGR,2021-02-01T00:00:00Z,ARR,5783,121532.50862950443,569915.444115873
SBGR,2021-02-01T00:00:00Z,DEP,5617,238765.23835326344,1062023.6454210058
SBGR,2021-03-01T00:00:00Z,ARR,4948,102228.77880403723,479060.98541587614
SBGR,2021-03-01T00:00:00Z,DEP,4742,183508.846082543,895171.6592649309
SBGR,2021-04-01T00:00:00Z,ARR,3905,73803.70212385444,387228.30777544895
SBGR,2021-04-01T00:00:00Z,DEP,3799,142196.93634326576,692013.411954789
SBGR,2021-05-01T00:00:00Z,ARR,5005,104948.81510782246,480041.3865574182
SBGR,2021-05-01T00:00:00Z,DEP,4731,194126.72413201822,911501.9277118531
SBGR,2021-06-01T00:00:00Z,ARR,5684,128626.35259788221,566736.2819331285
SBGR,2021-06-01T00:00:00Z,DEP,5455,224390.08694262322,1000244.1939588826
SBGR,2021-07-01T00:00:00Z,ARR,7286,152224.2500502955,704838.9304042069
SBGR,2021-07-01T00:00:00Z,DEP,7128,351149.6417999981,1344594.30686
SBGR,2021-08-01T00:00:00Z,ARR,6780,146326.48906453786,679246.4284795262
SBGR,2021-08-01T00:00:00Z,DEP,6733,313261.91782119754,1191871.6791718781
SBGR,2021-09-01T00:00:00Z,ARR,7129,156877.3127026221,701375.5232013512
SBGR,2021-09-01T00:00:00Z,DEP,7138,338554.78646880074,1295768.6730377565
SBGR,2021-10-01T00:00:00Z,ARR,7362,178440.32492482662,741986.2872310751
SBGR,2021-10-01T00:00:00Z,DEP,7363,356302.5741570433,1347361.8657090967
SBGR,2021-11-01T00:00:00Z,ARR,7953,206093.4642977047,791148.8546033165
SBGR,2021-11-01T00:00:00Z,DEP,7956,463595.32260000106,1569433.8594999986
SBGR,2021-12-01T00:00:00Z,ARR,8709,256005.55288688393,924134.4417089553
SBGR,2021-12-01T00:00:00Z,DEP,8760,545307.3546714121,1735301.7874302622
SBGR,2022-01-01T00:00:00Z,ARR,8227,236138.84508313783,820079.5057698584
SBGR,2022-01-01T00:00:00Z,DEP,8282,492662.1357312005,1747334.2480971243
SBGR,2022-02-01T00:00:00Z,ARR,7019,199455.7983245428,739077.8043397807
SBGR,2022-02-01T00:00:00Z,DEP,6988,346561.4850992995,1370234.127759943
SBGR,2022-03-01T00:00:00Z,ARR,7638,239124.6212415412,802924.1739602172
SBGR,2022-03-01T00:00:00Z,DEP,7633,369135.42600000004,1496823.5330600026
SBGR,2022-04-01T00:00:00Z,ARR,7212,205829.7924141972,772281.1920592726
SBGR,2022-04-01T00:00:00Z,DEP,7193,309932.0505023996,1350615.2723913577
SBGR,2022-05-01T00:00:00Z,ARR,7663,210430.97668332545,770849.6699475094
SBGR,2022-05-01T00:00:00Z,DEP,7568,343487.6729999997,1525343.362920002
SBGR,2022-06-01T00:00:00Z,ARR,7528,220755.33111753134,802934.0705788997
SBGR,2022-06-01T00:00:00Z,DEP,7448,384801.41579999955,1476957.2776200045
SBGR,2022-07-01T00:00:00Z,ARR,4,259.26,633.84
