ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBKP,2019-01-01T00:00:00Z,ARR,4716,138228.9811908642,354431.34652606136
SBKP,2019-01-01T00:00:00Z,DEP,4700,330471.9156251529,946309.6402771408
SBKP,2019-02-01T00:00:00Z,ARR,4408,129663.65797443266,330854.0861187661
SBKP,2019-02-01T00:00:00Z,DEP,4387,336246.20187644876,891541.9268110815
SBKP,2019-03-01T00:00:00Z,ARR,4605,140418.87598186487,361721.37805317855
SBKP,2019-03-01T00:00:00Z,DEP,4587,331916.9480828362,891810.3574470351
SBKP,2019-04-01T00:00:00Z,ARR,4576,132851.09651781118,343692.3621698984
SBKP,2019-04-01T00:00:00Z,DEP,4539,317272.54168283637,854216.8667629724
SBKP,2019-05-01T00:00:00Z,ARR,4680,150838.6953424919,374306.7156603373
SBKP,2019-05-01T00:00:00Z,DEP,4666,315811.5774720585,895493.1902220612
SBKP,2019-06-01T00:00:00Z,ARR,4511,159522.47182191958,371234.00078813825
SBKP,2019-06-01T00:00:00Z,DEP,4495,319308.734966866,873001.4685030207
SBKP,2019-07-01T00:00:00Z,ARR,2486,95365.31779362545,215977.3105516275
SBKP,2019-07-01T00:00:00Z,DEP,4810,348503.31878163834,928984.7878395062
SBKP,2019-08-01T00:00:00Z,ARR,4768,157638.7902237605,394929.9516749285
SBKP,2019-08-01T00:00:00Z,DEP,4755,225180.6476439122,774297.5471563905
SBKP,2019-09-01T00:00:00Z,ARR,4532,150882.42172694724,376011.3183315501
SBKP,2019-09-01T00:00:00Z,DEP,4461,167422.42504570997,683959.7026048622
SBKP,2019-10-01T00:00:00Z,ARR,4673,118198.41357170625,347913.4022174872
SBKP,2019-10-01T00:00:00Z,DEP,4626,200195.00264131912,729167.3295087122
SBKP,2019-11-01T00:00:00Z,ARR,4314,117117.03631143682,337275.7286119644
SBKP,2019-11-01T00:00:00Z,DEP,4266,206395.24210519085,738021.468732927
SBKP,2019-12-01T00:00:00Z,ARR,4221,111622.44376355845,322108.4578605067
SBKP,2019-12-01T00:00:00Z,DEP,4202,158766.94687864403,684544.5239933846
SBKP,2020-01-01T00:00:00Z,ARR,4158,114281.28801738545,310538.7893289247
SBKP,2020-01-01T00:00:00Z,DEP,4122,149715.48996926137,672964.4982727166
SBKP,2020-02-01T00:00:00Z,ARR,3818,108712.0732502472,294009.32228321035
SBKP,2020-02-01T00:00:00Z,DEP,3762,157198.69679999992,647453.2727400013
SBKP,2020-03-01T00:00:00Z,ARR,2817,93170.18902832802,243054.8933015165
SBKP,2020-03-01T00:00:00Z,DEP,2793,92800.05789880261,427949.30779552093
SBKP,2020-04-01T00:00:00Z,ARR,1303,37571.76916897897,132460.79434900274
SBKP,2020-04-01T00:00:00Z,DEP,640,24750.533947106276,126349.44639576119
SBKP,2020-05-01T00:00:00Z,ARR,815,20277.333517090698,66507.22063278183
SBKP,2020-05-01T00:00:00Z,DEP,778,24077.03300160002,144037.61736144003
SBKP,2020-06-01T00:00:00Z,ARR,595,17575.46063306138,55755.14450485539
SBKP,2020-06-01T00:00:00Z,DEP,568,34112.58181222679,123000.11612429518
SBKP,2020-07-01T00:00:00Z,ARR,778,9193.962907962765,59009.72882394295
SBKP,2020-07-01T00:00:00Z,DEP,791,51203.722553985186,171474.39082977377
SBKP,2020-08-01T00:00:00Z,ARR,948,18558.43287366654,74595.85108544787
SBKP,2020-08-01T00:00:00Z,DEP,952,38431.00010413962,158705.8606108757
SBKP,2020-09-01T00:00:00Z,ARR,1995,64764.00709453305,176995.27914604984
SBKP,2020-09-01T00:00:00Z,DEP,1982,55065.219744688795,305670.3472195028
SBKP,2020-10-01T00:00:00Z,ARR,3289,107263.91198813704,280500.29429596034
SBKP,2020-10-01T00:00:00Z,DEP,3288,115004.23033812523,520751.0863294546
SBKP,2020-11-01T00:00:00Z,ARR,3754,102452.47488494961,282599.2371361855
SBKP,2020-11-01T00:00:00Z,DEP,3777,142955.3459998014,586631.4968271938
SBKP,2020-12-01T00:00:00Z,ARR,3972,117950.21629411988,306503.39066500816
SBKP,2020-12-01T00:00:00Z,DEP,3959,163903.3553403201,677215.2931215201
SBKP,2021-01-01T00:00:00Z,ARR,4051,118635.02724567955,309659.6981799897
SBKP,2021-01-01T00:00:00Z,DEP,4070,150685.12649620892,670628.3414308662
SBKP,2021-02-01T00:00:00Z,ARR,3443,88591.2936307321,260129.8963657215
SBKP,2021-02-01T00:00:00Z,DEP,3436,94805.65768303553,525628.5019538852
SBKP,2021-03-01T00:00:00Z,ARR,3688,99995.59144387244,282142.5184329985
SBKP,2021-03-01T00:00:00Z,DEP,3645,111232.83200419237,573273.205834804
SBKP,2021-04-01T00:00:00Z,ARR,3054,66304.25272329988,239114.7835899779
SBKP,2021-04-01T00:00:00Z,DEP,3071,69549.37190758536,441205.3042942606
SBKP,2021-05-01T00:00:00Z,ARR,3571,85406.35749957377,265696.95242563495
SBKP,2021-05-01T00:00:00Z,DEP,3586,93698.46119999985,536016.9350799995
SBKP,2021-06-01T00:00:00Z,ARR,3774,82943.70514746533,271176.5711624452
SBKP,2021-06-01T00:00:00Z,DEP,3805,112973.4168263473,568597.82685836975
