ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBPA,2019-01-01T00:00:00Z,ARR,2798,71960.10479999974,161852.49479999987
SBPA,2019-01-01T00:00:00Z,DEP,2800,106779.14639999984,415492.9782799986
SBPA,2019-02-01T00:00:00Z,ARR,2634,75442.08360000004,163070.73300000027
SBPA,2019-02-01T00:00:00Z,DEP,2608,148111.99270206864,434542.47885988734
SBPA,2019-03-01T00:00:00Z,ARR,2645,64777.742650577784,150525.762546131
SBPA,2019-03-01T00:00:00Z,DEP,2626,142351.75139999992,431678.56869999977
SBPA,2019-04-01T00:00:00Z,ARR,2594,72778.81679999997,162576.24479999978
SBPA,2019-04-01T00:00:00Z,DEP,2558,147780.4362,421465.9264000008
SBPA,2019-05-01T00:00:00Z,ARR,2581,76590.20699999991,168731.38619999983
SBPA,2019-05-01T00:00:00Z,DEP,2554,141190.84019999995,410624.57760000037
SBPA,2019-06-01T00:00:00Z,ARR,2514,59898.98280000006,142265.70479999986
SBPA,2019-06-01T00:00:00Z,DEP,2493,136405.71180000014,412721.3027599991
SBPA,2019-07-01T00:00:00Z,ARR,1478,34752.49079999998,78520.33919999991
SBPA,2019-07-01T00:00:00Z,DEP,2855,142934.82480000023,465035.50517999975
SBPA,2019-08-01T00:00:00Z,ARR,2886,113978.2297734769,208451.11899192873
SBPA,2019-08-01T00:00:00Z,DEP,2857,174088.54379999978,490399.2379600001
SBPA,2019-09-01T00:00:00Z,ARR,2768,65527.72686720001,158359.9689119998
SBPA,2019-09-01T00:00:00Z,DEP,2753,109718.94167039981,397229.50226159906
SBPA,2019-10-01T00:00:00Z,ARR,2892,104820.94770240011,199120.1141856
SBPA,2019-10-01T00:00:00Z,DEP,2857,149950.40964480027,446120.03815856064
SBPA,2019-11-01T00:00:00Z,ARR,2764,47480.193000000094,138297.88075680038
SBPA,2019-11-01T00:00:00Z,DEP,2723,90260.09288159992,354364.4385163204
SBPA,2019-12-01T00:00:00Z,ARR,3020,85589.75385120013,176233.97861280045
SBPA,2019-12-01T00:00:00Z,DEP,2972,107657.73358560028,402107.67602000013
SBPA,2020-01-01T00:00:00Z,ARR,2935,128525.38916160012,215136.94843679972
SBPA,2020-01-01T00:00:00Z,DEP,2898,100165.64429280024,378900.0447103999
SBPA,2020-02-01T00:00:00Z,ARR,2581,35649.60651360005,112868.17227360028
SBPA,2020-02-01T00:00:00Z,DEP,2532,75319.36029600004,321311.6683873597
SBPA,2020-03-01T00:00:00Z,ARR,1914,30133.428470399962,90905.20532160008
SBPA,2020-03-01T00:00:00Z,DEP,1883,53972.285236799966,236965.93979519932
SBPA,2020-04-01T00:00:00Z,ARR,302,6860.232064250685,17326.35532685563
SBPA,2020-04-01T00:00:00Z,DEP,151,1135.206600000001,21726.6176
SBPA,2020-05-01T00:00:00Z,ARR,157,2962.9638385504113,8949.939353378773
SBPA,2020-05-01T00:00:00Z,DEP,160,3885.4799999999977,27229.93075999999
SBPA,2020-06-01T00:00:00Z,ARR,226,4875.455534926442,13615.918649754803
SBPA,2020-06-01T00:00:00Z,DEP,230,6819.2832,37218.825
SBPA,2020-07-01T00:00:00Z,ARR,357,5214.058373476858,17644.306778256163
SBPA,2020-07-01T00:00:00Z,DEP,354,7989.154105713263,52839.74888489764
SBPA,2020-08-01T00:00:00Z,ARR,398,6393.543128501369,20525.282875455105
SBPA,2020-08-01T00:00:00Z,DEP,395,6184.09383768891,51728.075227854766
SBPA,2020-09-01T00:00:00Z,ARR,640,8553.975006425066,29882.164399177145
SBPA,2020-09-01T00:00:00Z,DEP,626,11597.120399999989,80876.38651999993
SBPA,2020-10-01T00:00:00Z,ARR,1075,14508.433812850131,50007.84081845237
SBPA,2020-10-01T00:00:00Z,DEP,1055,24833.14347642831,137461.16188555208
SBPA,2020-11-01T00:00:00Z,ARR,1402,19224.128489950956,66674.09555980381
SBPA,2020-11-01T00:00:00Z,DEP,1379,31550.404644484857,172607.31493267103
SBPA,2020-12-01T00:00:00Z,ARR,1703,25904.37680483383,80190.15251939552
SBPA,2020-12-01T00:00:00Z,DEP,1676,40174.11337381836,209093.56773539385
SBPA,2021-01-01T00:00:00Z,ARR,1781,23787.670504100257,76412.10171108568
SBPA,2021-01-01T00:00:00Z,DEP,1761,32887.82038600424,203201.05526229303
SBPA,2021-02-01T00:00:00Z,ARR,1316,15081.064360626711,53249.68169555324
SBPA,2021-02-01T00:00:00Z,DEP,1314,32428.909429342097,169778.06610034272
SBPA,2021-03-01T00:00:00Z,ARR,1035,13348.817089128088,43465.10184810911
SBPA,2021-03-01T00:00:00Z,DEP,1032,19993.965467895407,123369.3352460785
SBPA,2021-04-01T00:00:00Z,ARR,687,10116.583482703027,31812.99427463222
SBPA,2021-04-01T00:00:00Z,DEP,684,14299.815554400144,84401.0606435897
SBPA,2021-05-01T00:00:00Z,ARR,930,14874.22826985287,41400.74699110635
SBPA,2021-05-01T00:00:00Z,DEP,946,18286.27904917989,119491.49666606974
SBPA,2021-06-01T00:00:00Z,ARR,1265,20543.800199999994,57880.70580000009
SBPA,2021-06-01T00:00:00Z,DEP,1258,29182.99886382234,161268.5117019977
SBPA,2021-07-01T00:00:00Z,ARR,1662,27122.71679999997,76135.16040000001
SBPA,2021-07-01T00:00:00Z,DEP,1687,45108.4197753455,221393.78369497467
SBPA,2021-08-01T00:00:00Z,ARR,1822,25802.371345625048,83988.08887988339
SBPA,2021-08-01T00:00:00Z,DEP,1798,41029.24626742632,210891.3923354561
SBPA,2021-09-01T00:00:00Z,ARR,1798,25784.234880752047,80274.64600220596
SBPA,2021-09-01T00:00:00Z,DEP,1766,50466.77510776577,224449.87650467633
SBPA,2021-10-01T00:00:00Z,ARR,1826,23138.301722076263,81898.3123453079
SBPA,2021-10-01T00:00:00Z,DEP,1813,48392.196530860725,229112.79306994827
SBPA,2021-11-01T00:00:00Z,ARR,2214,30964.08135498315,99069.27929509888
SBPA,2021-11-01T00:00:00Z,DEP,2181,71952.54059319607,283218.3544704723
SBPA,2021-12-01T00:00:00Z,ARR,2423,31802.640355092244,109984.93279512312
SBPA,2021-12-01T00:00:00Z,DEP,2373,67206.10844796814,288652.60881821834
SBPA,2022-01-01T00:00:00Z,ARR,2229,30352.94281886664,98840.51156556675
SBPA,2022-01-01T00:00:00Z,DEP,2190,60755.71071184717,271687.55152713665
SBPA,2022-02-01T00:00:00Z,ARR,1798,21862.166497170703,75195.24698868922
