ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBRJ,2019-01-01T00:00:00Z,ARR,3704,71743.09746147305,172887.3455258271
SBRJ,2019-01-01T00:00:00Z,DEP,3678,123616.77720000007,443040.98471999966
SBRJ,2019-02-01T00:00:00Z,ARR,3373,67765.9992000001,159320.2308000003
SBRJ,2019-02-01T00:00:00Z,DEP,3329,124562.58720000004,411612.7855599989
SBRJ,2019-03-01T00:00:00Z,ARR,3562,69899.01480000009,167412.49799999944
SBRJ,2019-03-01T00:00:00Z,DEP,3529,162890.79360000018,467446.6358000008
SBRJ,2019-04-01T00:00:00Z,ARR,3605,72335.70959999984,171597.25919999988
SBRJ,2019-04-01T00:00:00Z,DEP,3551,154084.90440000012,460770.24212000024
SBRJ,2019-05-01T00:00:00Z,ARR,3655,62781.94800000011,163855.73779509094
SBRJ,2019-05-01T00:00:00Z,DEP,3631,170965.70880000034,483947.9082799995
SBRJ,2019-06-01T00:00:00Z,ARR,3289,38326.74480000004,131309.0616000002
SBRJ,2019-06-01T00:00:00Z,DEP,3282,134022.74400000027,417192.2985599999
SBRJ,2019-07-01T00:00:00Z,ARR,1851,20907.513600000024,74097.70800000009
SBRJ,2019-07-01T00:00:00Z,DEP,3597,133554.3876000003,448852.4430400005
SBRJ,2019-08-01T00:00:00Z,ARR,2851,114068.04360000009,193704.7920000001
SBRJ,2019-08-01T00:00:00Z,DEP,2841,102770.16120000005,350122.7075600001
SBRJ,2019-09-01T00:00:00Z,ARR,1574,18392.427600000017,56263.12080000004
SBRJ,2019-09-01T00:00:00Z,DEP,1556,51577.85160000002,176380.59616000048
SBRJ,2019-10-01T00:00:00Z,ARR,4117,138005.69519999996,245944.17480000024
SBRJ,2019-10-01T00:00:00Z,DEP,4117,142475.70840000015,501193.4629600009
SBRJ,2019-11-01T00:00:00Z,ARR,4060,60705.38073600012,166669.27295999965
SBRJ,2019-11-01T00:00:00Z,DEP,4021,148086.83400000015,507116.63779999985
SBRJ,2019-12-01T00:00:00Z,ARR,4388,127742.57705280029,245876.3316767999
SBRJ,2019-12-01T00:00:00Z,DEP,4335,156705.5934336002,543147.0349833602
SBRJ,2020-01-01T00:00:00Z,ARR,4567,213460.36440000022,338478.9767999995
SBRJ,2020-01-01T00:00:00Z,DEP,4499,203598.52440000064,604128.7508399971
SBRJ,2020-02-01T00:00:00Z,ARR,4047,62587.26574080004,176102.14978560075
SBRJ,2020-02-01T00:00:00Z,DEP,3964,139454.63400000014,491230.9746400001
SBRJ,2020-03-01T00:00:00Z,ARR,2898,37530.983308800016,116506.77593280055
SBRJ,2020-03-01T00:00:00Z,DEP,2884,91342.1094336002,347543.8537233604
SBRJ,2020-04-01T00:00:00Z,ARR,378,1430.7336000000003,11169.016800000001
SBRJ,2020-04-01T00:00:00Z,DEP,189,2697.231600000001,17270.185600000004
SBRJ,2020-05-01T00:00:00Z,ARR,236,626.0412000000005,6913.851599999996
SBRJ,2020-05-01T00:00:00Z,DEP,243,2688.8808,21844.159600000014
SBRJ,2020-06-01T00:00:00Z,ARR,370,1714.9104,11855.349600000003
SBRJ,2020-06-01T00:00:00Z,DEP,374,4950.815999999996,35060.848559999984
SBRJ,2020-07-01T00:00:00Z,ARR,613,4275.135036072534,21135.39261846305
SBRJ,2020-07-01T00:00:00Z,DEP,609,14133.986400000005,65374.25683999998
SBRJ,2020-08-01T00:00:00Z,ARR,831,6146.224800000001,26589.958800000022
SBRJ,2020-08-01T00:00:00Z,DEP,835,23107.014,87044.62625999993
SBRJ,2020-09-01T00:00:00Z,ARR,1439,17510.54040000001,55231.092000000026
SBRJ,2020-09-01T00:00:00Z,DEP,1416,39717.63704935111,162171.8315787055
SBRJ,2020-10-01T00:00:00Z,ARR,2042,24738.914961899627,78298.62041152598
SBRJ,2020-10-01T00:00:00Z,DEP,2033,61061.968800000046,241862.82071999984
SBRJ,2020-11-01T00:00:00Z,ARR,2332,31902.16408304544,92416.06649573639
SBRJ,2020-11-01T00:00:00Z,DEP,2317,75219.33171840006,277451.1346995199
SBRJ,2020-12-01T00:00:00Z,ARR,2839,40149.96072216354,115729.41388968083
SBRJ,2020-12-01T00:00:00Z,DEP,2821,103735.27403520024,344270.9828820797
SBRJ,2021-01-01T00:00:00Z,ARR,2809,38626.25638481796,112501.8962789996
SBRJ,2021-01-01T00:00:00Z,DEP,2790,91449.98723519978,329868.4073387197
SBRJ,2021-02-01T00:00:00Z,ARR,2154,28835.298065345607,88605.39581402675
SBRJ,2021-02-01T00:00:00Z,DEP,2130,67827.55679040005,252151.1925958404
