ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBSP,2019-01-01T00:00:00Z,ARR,7739,213749.77800000034,478486.97039999755
SBSP,2019-01-01T00:00:00Z,DEP,7666,377245.59840000165,1293425.9052800022
SBSP,2019-02-01T00:00:00Z,ARR,6918,222960.2519999991,459031.9799999994
SBSP,2019-02-01T00:00:00Z,DEP,6803,495352.8599999997,1305352.1310000012
SBSP,2019-03-01T00:00:00Z,ARR,7302,198329.86799999911,447557.2679999999
SBSP,2019-03-01T00:00:00Z,DEP,7238,355321.2119999989,1200459.1037999955
SBSP,2019-04-01T00:00:00Z,ARR,7151,163159.49999999968,406241.73599999986
SBSP,2019-04-01T00:00:00Z,DEP,7059,425119.8240000011,1240690.5381999959
SBSP,2019-05-01T00:00:00Z,ARR,7181,132717.8640000003,377400.55199999927
SBSP,2019-05-01T00:00:00Z,DEP,7117,394255.10399999935,1240484.5325999956
SBSP,2019-06-01T00:00:00Z,ARR,6552,102205.76317273822,327127.27458754316
SBSP,2019-06-01T00:00:00Z,DEP,6492,303499.2719999999,1088167.5385999985
SBSP,2019-07-01T00:00:00Z,ARR,3686,50126.460000000196,176734.26000000036
SBSP,2019-07-01T00:00:00Z,DEP,7102,298624.7461563012,1141367.8833290492
SBSP,2019-08-01T00:00:00Z,ARR,7091,254060.07600000026,499078.9200000005
SBSP,2019-08-01T00:00:00Z,DEP,7027,419530.4279999989,1241365.8769999968
SBSP,2019-09-01T00:00:00Z,ARR,7326,104374.32000000044,356335.0319999993
SBSP,2019-09-01T00:00:00Z,DEP,7235,378534.5760000004,1221437.3483999984
SBSP,2019-10-01T00:00:00Z,ARR,7565,300579.0376415998,559815.6868608
SBSP,2019-10-01T00:00:00Z,DEP,7491,453319.35418560036,1302331.6545435174
SBSP,2019-11-01T00:00:00Z,ARR,7440,126088.58016000086,374953.3019999993
SBSP,2019-11-01T00:00:00Z,DEP,7332,433190.74985279946,1233547.675428796
SBSP,2019-12-01T00:00:00Z,ARR,7658,248970.3542685712,503536.64820396906
