ICAO,MOF,PHASE,N,TOT_ADD_FUEL,TOT_TXX_FUEL
SBSV,2019-01-01T00:00:00Z,ARR,2898,103429.52508702652,231612.4994970386
SBSV,2019-01-01T00:00:00Z,DEP,2914,122186.10111580738,396972.2528050275
SBSV,2019-02-01T00:00:00Z,ARR,2271,103267.02441892095,208861.84879192009
SBSV,2019-02-01T00:00:00Z,DEP,2279,105306.6214614559,328532.1809106768
SBSV,2019-03-01T00:00:00Z,ARR,2454,126577.79028785479,243122.56877841993
SBSV,2019-03-01T00:00:00Z,DEP,2436,124052.90142255592,381189.911431777
SBSV,2019-04-01T00:00:00Z,ARR,1946,85870.84752000014,180809.17439999967
SBSV,2019-04-01T00:00:00Z,DEP,1923,93354.35879999999,293556.30828
SBSV,2019-05-01T00:00:00Z,ARR,1725,48009.02999999999,122168.25120000009
SBSV,2019-05-01T00:00:00Z,DEP,1705,80850.37440000015,248434.2948799998
SBSV,2019-06-01T00:00:00Z,ARR,1804,45565.35503999998,124760.56464000023
SBSV,2019-06-01T00:00:00Z,DEP,1781,89721.39120000004,270730.13496
SBSV,2019-07-01T00:00:00Z,ARR,1270,29481.075600000015,84861.00600000007
SBSV,2019-07-01T00:00:00Z,DEP,2479,118436.08030550655,365806.95467653865
SBSV,2019-08-01T00:00:00Z,ARR,2178,85522.45320000009,184748.45159999956
SBSV,2019-08-01T00:00:00Z,DEP,2237,120673.14120000004,347417.7766799997
SBSV,2019-09-01T00:00:00Z,ARR,2124,51618.04080055223,148772.75079623613
SBSV,2019-09-01T00:00:00Z,DEP,2194,72290.95559999975,288088.37315999914
SBSV,2019-10-01T00:00:00Z,ARR,2265,75457.42007999997,180085.19448000006
SBSV,2019-10-01T00:00:00Z,DEP,2254,99441.62659747666,307299.4297959174
SBSV,2019-11-01T00:00:00Z,ARR,2405,38123.39651324982,152969.85820326267
SBSV,2019-11-01T00:00:00Z,DEP,2389,81543.98130479488,317300.92248323554
SBSV,2019-12-01T00:00:00Z,ARR,2685,67724.29443114289,195809.00348115576
SBSV,2019-12-01T00:00:00Z,DEP,2669,90793.22160000012,351563.6646599998
SBSV,2020-01-01T00:00:00Z,ARR,2737,104204.24762976199,232376.2776738527
SBSV,2020-01-01T00:00:00Z,DEP,2726,101042.09399999978,367872.9995599997
SBSV,2020-02-01T00:00:00Z,ARR,2441,47306.435364868354,164616.46804326295
