APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBBR,2019-01,ARR,5477,2,0,2,1,7,22,50,180,442,739,829,826,698,510,286,216,143,112,76,55,43,35,32,18,24,127,0.30217,0.12744,0.09312,0.09166,0.22056,0.61439
SBBR,2020-01,ARR,5524,2,2,7,2,7,16,33,87,293,582,771,834,747,710,437,262,198,116,95,57,44,22,25,14,18,139,0.29055,0.13523,0.12853,0.12654,0.26376,0.68085
SBBR,2021-01,ARR,3693,3,0,0,0,2,8,51,171,399,665,684,599,394,269,131,87,59,49,29,23,16,8,6,8,5,24,0.34741,0.10669,0.07284,0.05903,0.17953,0.58597
SBBR,2022-01,ARR,4529,0,0,0,3,9,15,33,97,296,628,810,757,527,459,224,165,124,86,59,46,25,23,17,11,17,95,0.34599,0.11636,0.10135,0.08589,0.21771,0.64959
SBBR,2019-02,ARR,4829,2,0,1,2,4,12,35,143,314,594,712,732,550,512,298,206,170,130,79,62,57,29,27,26,22,110,0.29903,0.1139,0.10603,0.10437,0.21992,0.62332
SBBR,2020-02,ARR,4789,5,1,5,7,5,25,27,107,276,565,758,783,633,543,271,193,132,107,71,40,34,21,25,19,17,117,0.32178,0.13218,0.11338,0.09689,0.24556,0.66423
SBBR,2021-02,ARR,2778,1,0,0,0,0,12,42,121,301,486,596,437,294,191,77,62,40,22,16,14,15,11,9,2,3,25,0.37185,0.10583,0.06875,0.05004,0.17459,0.59647
SBBR,2022-02,ARR,3455,0,0,0,2,7,13,34,127,318,527,705,630,418,277,120,86,58,33,26,8,18,10,4,2,2,29,0.3864,0.12098,0.08017,0.05962,0.20116,0.64718
SBBR,2019-03,ARR,5137,3,1,0,0,1,15,61,189,427,767,906,781,581,419,238,160,114,94,60,46,36,25,26,29,17,139,0.3284,0.1131,0.08157,0.07748,0.19467,0.60055
SBBR,2020-03,ARR,3739,1,0,6,5,10,12,40,121,275,534,696,677,508,324,139,102,66,42,39,13,17,10,9,9,5,69,0.36721,0.13587,0.08665,0.06446,0.22252,0.65419
SBBR,2021-03,ARR,2400,0,0,0,0,2,7,38,114,300,497,536,393,243,124,48,21,16,10,16,6,4,3,0,3,3,16,0.38708,0.10125,0.05167,0.02875,0.15292,0.56875
SBBR,2022-03,ARR,3702,0,0,2,0,4,9,28,115,334,635,784,660,428,279,136,74,50,37,30,10,13,11,10,6,3,42,0.39006,0.11561,0.07536,0.05673,0.19098,0.63776
SBBR,2019-04,ARR,4766,2,0,1,0,3,14,63,153,360,723,865,732,545,421,241,142,97,78,53,42,48,21,20,20,13,106,0.33508,0.11435,0.08833,0.08036,0.20269,0.61813
SBBR,2020-04,ARR,286,5,0,0,0,0,3,13,27,44,38,42,30,25,15,9,4,6,1,5,0,5,2,1,3,2,6,0.25175,0.08741,0.05245,0.04545,0.13986,0.43706
SBBR,2021-04,ARR,1688,1,0,2,2,6,9,31,85,215,318,409,272,153,76,34,19,17,8,7,3,1,2,6,0,2,9,0.40344,0.09064,0.04502,0.0314,0.13566,0.5705
SBBR,2022-04,ARR,3307,0,0,0,0,1,2,21,96,245,468,663,617,409,290,150,87,54,54,25,33,13,16,11,3,4,43,0.38706,0.12368,0.08769,0.07167,0.21137,0.67009
SBBR,2019-05,ARR,4787,0,0,0,0,2,12,70,208,481,810,913,764,532,396,175,117,75,57,27,24,21,11,17,10,8,54,0.35032,0.11113,0.08272,0.061,0.19386,0.60518
SBBR,2020-05,ARR,340,1,0,0,0,3,1,7,15,26,35,56,53,37,29,17,18,11,8,10,3,2,1,0,0,1,4,0.32059,0.10882,0.08529,0.10294,0.19412,0.61765
SBBR,2021-05,ARR,2336,0,1,3,6,3,9,39,96,218,405,492,452,282,168,59,27,19,11,10,4,1,2,2,7,0,19,0.40411,0.12072,0.07192,0.03682,0.19264,0.63356
SBBR,2022-05,ARR,3771,1,0,0,3,2,8,21,92,216,453,654,664,574,445,182,136,79,59,39,26,16,13,17,12,7,49,0.34951,0.15221,0.11801,0.08433,0.27022,0.70406
SBBR,2019-06,ARR,4397,1,0,0,2,2,16,79,191,444,722,880,700,454,320,177,108,68,61,37,27,22,13,12,4,3,52,0.35934,0.10325,0.07278,0.06482,0.17603,0.60018
