AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
SBBR,2019-01,ARR,6619,14827.7,3024.849423136717,11802.850576863282,1.783177304254915
SBBR,2019-02,ARR,5804,15533.65,2860.461311206332,12673.85200798273,2.1840172338415873
SBBR,2019-03,ARR,5924,13825.116666666669,2814.08744268329,11012.406087236164,1.8598895604182
SBBR,2019-04,ARR,5041,12506.95,2412.5842182131887,10098.687282003466,2.006893339030895
SBBR,2019-05,ARR,5118,10496.883333333331,2315.2615053564004,8185.697759406692,1.6022113445697186
SBBR,2019-06,ARR,5463,11326.116666666669,2449.3598375250094,8876.756829141657,1.6248868440676656
SBBR,2019-07,ARR,6705,14423.783333333333,3092.0095422176014,11331.773791115733,1.6900482909941434
SBBR,2019-08,ARR,6368,15174.6,2835.5816730484703,12339.01832695153,1.937659913151936
SBBR,2019-09,ARR,6293,14872.183333333332,2814.935876161385,12057.247457171949,1.915977666799928
SBBR,2019-10,ARR,6666,17739.3,3111.7004901507335,14627.599509849266,2.1943593624136315
SBBR,2019-11,ARR,6583,19697.733333333337,3290.0716015833254,16407.66173175001,2.4924292468099662
SBBR,2019-12,ARR,6685,20618.316666666666,3257.5726346927554,17360.74403197391,2.5969699374680495
SBBR,2020-01,ARR,6535,22410.983333333337,3441.635428199613,18969.34790513372,2.9027311254986565
SBBR,2020-02,ARR,5899,16969.116666666665,2913.373950047665,14055.742716619,2.3827331270756065
SBBR,2020-03,ARR,4760,12857.233333333334,2253.2092762326756,10604.024057100658,2.227736146449718
SBBR,2020-04,ARR,1080,3838.5166666666664,459.6904492496889,3378.8262174169777,3.128542793904609
SBBR,2020-05,ARR,1358,6541.983333333334,667.0101610819135,5874.97317225142,4.326195266753623
SBBR,2020-06,ARR,1764,5689.583333333333,744.6198084261807,4944.9635249071525,2.8032673043691343
SBBR,2020-07,ARR,2492,6423.25,1086.9759213266027,5336.2740786733975,2.141361989836837
SBBR,2020-08,ARR,3169,7640.75,1370.9306610464562,6269.819338953544,1.978485118003643
SBBR,2020-09,ARR,3797,9742.633333333331,1680.8615221607135,8061.77181117262,2.123195104338325
SBBR,2020-10,ARR,4402,12497.316666666668,2092.1369659004986,10405.179700766168,2.363739141473459
SBBR,2020-11,ARR,4266,11666.216666666667,2036.645013561998,9629.57165310467,2.2572835567521494
SBBR,2020-12,ARR,5083,13790.05,2413.5051709557615,11376.544829044238,2.2381555831289077
SBBR,2021-01,ARR,4808,12380.15,2227.9772790548304,10152.17272094517,2.1115167888821067
SBBR,2021-02,ARR,3970,10558.45,1987.5289849126711,8570.92101508733,2.158922170047186
SBBR,2021-03,ARR,3689,8283.233333333334,1712.6706358296358,6570.562697503698,1.7811229865827318
SBBR,2021-04,ARR,2974,6446.333333333333,1341.3615803677958,5104.971752965537,1.7165338779305774
SBBR,2021-05,ARR,3742,8003.766666666666,1667.2236555395352,6336.543011127132,1.6933572985374483
SBBR,2021-06,ARR,4176,8779.55,1843.059662244472,6936.490337755527,1.6610369582747913
SBBR,2021-07,ARR,4917,10974.433333333332,2220.9120603112906,8753.521273022043,1.7802565127154857
SBBR,2021-08,ARR,5190,11132.866666666669,2273.685964165007,8859.180702501659,1.7069712336226703
SBBR,2021-09,ARR,5442,12607.216666666667,2464.4073306506375,10142.80933601603,1.8638017890510896
SBBR,2021-10,ARR,5521,13742.183333333332,2612.886896180468,11129.296437152863,2.0158117075082167
SBBR,2021-11,ARR,5000,13341.316666666668,2501.2905594224976,10840.02610724417,2.168005221448834
SBBR,2021-12,ARR,6259,16600.6,3098.9043830168953,13501.695616983105,2.1571649811444487
SBCF,2019-01,ARR,4359,4875.333333333333,1739.8530652238169,3135.4802681095166,0.719311830261417
SBCF,2019-02,ARR,3863,4260.183333333333,1573.4333422891966,2686.749991044137,0.6955086696981975
SBCF,2019-03,ARR,4008,4332.8,1601.429809944548,2731.370190055452,0.6814795883371886
SBCF,2019-04,ARR,3753,4006.55,1529.865977720078,2477.559272716653,0.6605063377010539
SBCF,2019-05,ARR,3537,4106.65,1427.9224665084346,2679.117562483075,0.7576689939148967
SBCF,2019-06,ARR,4018,4272.016666666666,1588.4991982378542,2683.517468428812,0.6678739344023923
SBCF,2019-07,ARR,4671,5038.966666666666,1880.2950239560491,3158.6716427106176,0.676230281034172
SBCF,2019-08,ARR,4412,5037.7,1744.711935439908,3292.988064560092,0.7463708215231396
SBCF,2019-09,ARR,4234,4805.966666666666,1682.3310165258686,3123.635650140798,0.7377505078273023
SBCF,2019-10,ARR,4384,4600.85,1752.47028264067,2848.3797173593302,0.6497216508575114
SBCF,2019-11,ARR,4130,4358.633333333333,1676.2169506347866,2682.416382698547,0.6494954921788249
