AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
EDDF,2019-01,ARR,18794,184513.416666667,135854.970745342,48456.8292546578,2.57831378390219
EDDF,2019-02,ARR,18418,175460.166666667,130565.462562629,44806.2707707044,2.43274355362713
EDDF,2019-03,ARR,21032,201667.483333333,151576.601964928,49923.464701739,2.3736907903071
EDDF,2019-04,ARR,21851,199722.583333333,145883.330674049,53696.2693259506,2.45738269763172
EDDF,2019-05,ARR,23088,225133.95,164158.029356591,60805.6039767428,2.63364535588803
EDDF,2019-06,ARR,22930,221271.083333333,160230.341554146,60917.875112521,2.65668884049372
EDDF,2019-07,ARR,23560,223232.933333333,165891.184061944,57066.9492713897,2.42219648859889
EDDF,2019-08,ARR,23198,219112.733333333,166484.639569928,52488.4937634058,2.26263013033045
EDDF,2019-09,ARR,23359,231390.416666667,170100.964608971,61186.3187243627,2.61938947405123
EDDF,2019-10,ARR,22971,228467.433333333,165650.178371904,62736.3382947622,2.73111045643473
EDDF,2019-11,ARR,19385,186927.866666667,136620.087503945,50223.7958293882,2.59085869638319
EDDF,2019-12,ARR,18375,179704.433333333,130503.172872893,49074.1437937741,2.67070170306254
EDDF,2020-01,ARR,18146,176377.383333333,130960.594693673,45379.1219729932,2.50077824165068
EDDF,2020-02,ARR,17930,173819.116666667,130156.986005635,43562.5806610318,2.429591782545
EDDF,2020-03,ARR,11443,101396.05,78229.1232907813,23098.360042552,2.01855807415468
EDDF,2020-04,ARR,3248,24632.5,17639.2416466599,6414.77502000678,1.97499230911539
EDDF,2020-05,ARR,3887,28393.7,22736.7569158655,5268.04308413446,1.35529793777578
EDDF,2020-06,ARR,4663,33015.45,26819.1857525619,6056.14758077143,1.29876636945559
EDDF,2020-07,ARR,7670,57976.7333333333,44933.7841740436,12947.6658259564,1.68809202424464
EDDF,2020-08,ARR,8849,74706.9,54354.9686392706,20259.7646940627,2.28949764878096
EDDF,2020-09,ARR,8466,68146,50883.3710417191,17173.0289582809,2.02847022894884
EDDF,2020-10,ARR,8548,68585.9,51219.3868628623,17253.7048038044,2.01844932192377
EDDF,2020-11,ARR,6397,53918.0333333333,39817.4479216997,14040.5854116336,2.19487031602839
EDDF,2020-12,ARR,6832,57795.1166666667,41325.8752695366,16406.4580637967,2.40141365102411
EDDF,2021-01,ARR,6579,53505.3166666667,38892.9300314156,14523.436635251,2.20754470820049
EDDF,2021-02,ARR,5560,45462.1,32510.9693139943,12694.314019339,2.28315000347824
EDDF,2021-03,ARR,6837,54696.7,40149.9515219531,14423.7818113802,2.10966532271175
EDDF,2021-04,ARR,7741,61111.6333333333,44813.8413672593,16070.4752994074,2.07602057866004
EDDF,2021-05,ARR,8500,65297.5166666667,47841.2660836568,17217.1839163432,2.02555104898156
EDDF,2021-06,ARR,9999,82633.15,61565.804648866,20781.8286844673,2.07839070751748
EDDF,2021-07,ARR,13796,116457.1,87956.3669419791,28379.2330580209,2.05706241359966
EDDF,2021-08,ARR,14453,125809.633333333,93365.1772469123,32283.1894197544,2.23366701859506
EDDF,2021-09,ARR,14066,124241.266666667,94125.667149837,29922.4995168297,2.12729272833995
EDDF,2021-10,ARR,14998,138482.933333333,101750.113939346,36555.9027273211,2.43738516651028
EDDF,2021-11,ARR,14440,137113.5,100362.80273183,36539.5472681701,2.53043956150762
EDDF,2021-12,ARR,13991,129668.383333333,95313.0943420531,33991.3889912802,2.42951818964193
EDDM,2019-01,ARR,15617,94400,67888.728849181,26404.271150819,1.69073901202658
EDDM,2019-02,ARR,14949,90117,64280.3523552715,25766.6476447285,1.72363687502365
EDDM,2019-03,ARR,17122,97129,74118.0693963807,22998.9306036193,1.34323855879099
EDDM,2019-04,ARR,17061,96316,71969.2993523711,24257.7006476289,1.42182173657048
EDDM,2019-05,ARR,18735,110907,80643.2603414946,30211.7396585054,1.61258284806541
EDDM,2019-06,ARR,18186,108707,77774.451661664,30829.548338336,1.69523525449994
EDDM,2019-07,ARR,18818,110923,81785.7975254995,29099.2024745005,1.54634937158574
EDDM,2019-08,ARR,18053,108123,78116.1469326531,29617.8530673469,1.64060560944701
EDDM,2019-09,ARR,18933,107860,81751.7764361071,26037.2235638929,1.37522968171409
EDDM,2019-10,ARR,18664,105840,80343.6887440439,25444.3112559561,1.3632828576916
EDDM,2019-11,ARR,15759,88841,67174.4981999835,21606.5018000165,1.37105792245806
EDDM,2019-12,ARR,15267,87648,65548.4739660154,22087.5260339846,1.44674959284631
EDDM,2020-01,ARR,15298,86076,65926.9286338373,20106.0713661627,1.31429411466614
EDDM,2020-02,ARR,14703,82684,63828.9584550902,18811.0415449098,1.27940158776507
EDDM,2020-03,ARR,8675,46528,36665.9705484105,9863.79415747183,1.13703679048667
EDDM,2020-04,ARR,906,4633,3804.08805527583,828.911944724174,0.914913846273923
EDDM,2020-05,ARR,1028,6978,5555.41906554579,1422.58093445422,1.38383359382706
EDDM,2020-06,ARR,2315,13474,10080.8385626973,3379.16143730274,1.45968096643747
EDDM,2020-07,ARR,4975,28796,22201.2064423085,6594.7935576915,1.32558664476211
EDDM,2020-08,ARR,6132,32177,25098.3707080096,7078.62929199037,1.15437529223587
EDDM,2020-09,ARR,6357,33217,25680.6392225599,7536.36077744012,1.18552159468934
EDDM,2020-10,ARR,5669,30051,23746.0272308789,6283.97276912111,1.10847993810568
EDDM,2020-11,ARR,3248,17139,13057.0423214289,4081.95767857108,1.25676036901819
EDDM,2020-12,ARR,2843,16209,11688.068219889,4529.46119187567,1.59319774599918
EDDM,2021-01,ARR,2450,15581,10860.4699179612,4715.53008203879,1.9247061559342
EDDM,2021-02,ARR,1705,9595,7031.84562967796,2568.91907620439,1.50669740539847
EDDM,2021-03,ARR,2547,14966,11345.0376533451,3623.96234665487,1.42283562883976
EDDM,2021-04,ARR,3273,17742,13527.2685827728,4214.73141722716,1.28772728910088
EDDM,2021-05,ARR,4101,22395,16118.9055506331,6264.09444936693,1.52745536439086
EDDM,2021-06,ARR,5531,32361,22953.9224191111,9387.07758088892,1.69717548018241
EDDM,2021-07,ARR,7927,46691,35142.7318041009,11500.2681958991,1.45077181732044
EDDM,2021-08,ARR,8780,51929,40434.7854682255,11450.2145317745,1.30412466193332
EDDM,2021-09,ARR,9445,54733,42335.3423515454,12351.6576484546,1.30774564832764
EDDM,2021-10,ARR,10364,58910,43957.5671272185,14940.4328727815,1.44157013438648
EDDM,2021-11,ARR,9613,53963,40772.1779969712,13154.5867089111,1.36841638499023
EDDM,2021-12,ARR,9483,54355,40353.7314172254,13968.2685827746,1.47297992014918
EGLL,2019-01,ARR,18920,163256,100643.331503815,62440.6684961848,3.30024674926981
EGLL,2019-02,ARR,17625,153642,93688.1435867136,59833.8564132864,3.39482873266873
EGLL,2019-03,ARR,19946,170262,104794.976040439,65375.0239595608,3.27760071992183
EGLL,2019-04,ARR,20172,177770,112510.021305169,65147.9786948313,3.22962416690617
EGLL,2019-05,ARR,20839,172524,110679.230736639,61802.5494993488,2.96571570129799
EGLL,2019-06,ARR,20453,179147,110370.122791843,68742.8772081572,3.36101682922589
EGLL,2019-07,ARR,21059,193446,112771.635589335,80534.3644106649,3.82422548129849
EGLL,2019-08,ARR,21021,186114,110832.2563054,74891.7436945996,3.56271079846818
EGLL,2019-09,ARR,19528,163419,104544.267113529,58806.732886471,3.01140582171605
EGLL,2019-10,ARR,20681,175594,110818.056582604,64671.9434173965,3.12711877652901
EGLL,2019-11,ARR,19073,169459,103166.711075829,66222.2889241711,3.47204367032827
EGLL,2019-12,ARR,18577,156283,98634.671246613,57615.328753387,3.10143342592383
EGLL,2020-01,ARR,19024,153859,100505.744261959,53328.2557380412,2.80320940591049
