AIRPORT,DATE,PHASE,FLIGHTS,TOT_TAXI,TOT_REF,TOT_ADD,AVG_ADD
EDDF,2019-01,DEP,18882,297379.7,191094.12947479,106059.17052521,5.6169457962721
EDDF,2019-02,DEP,18431,267262.5,185845.217220879,81177.7161124547,4.4044119208103
EDDF,2019-03,DEP,21024,312643.383333333,211896.207215766,100583.159450901,4.78420659488683
EDDF,2019-04,DEP,21832,320540.1,219429.076547374,100676.690119292,4.61142772624094
EDDF,2019-05,DEP,23095,343184.433333333,229954.485240835,112835.498092498,4.88571111030518
EDDF,2019-06,DEP,22939,337904.483333333,230155.216582349,107552.816750985,4.68864452465167
EDDF,2019-07,DEP,23565,331501.266666667,237169.454205117,94099.6291282161,3.99319453122071
EDDF,2019-08,DEP,23197,325509.916666667,234146.235152404,91115.3481809295,3.92789361473163
EDDF,2019-09,DEP,23354,350437.266666667,234822.876229316,115209.723770684,4.93319019314394
EDDF,2019-10,DEP,22967,350442.05,231448.373972757,118645.442693909,5.16590946549003
EDDF,2019-11,DEP,19405,289214.2,196236.900599785,92809.8494002147,4.78278018037695
EDDF,2019-12,DEP,18260,274815.816666667,185254.662384016,89492.1042826504,4.90099147221525
EDDF,2020-01,DEP,18245,262292.25,184899.548070701,77289.4685959654,4.23619997785505
EDDF,2020-02,DEP,17927,261815.233333333,181055.376909576,79901.1897570904,4.45703072221177
EDDF,2020-03,DEP,11396,148370.15,114515.330362443,33534.1196375573,2.94262194081759
EDDF,2020-04,DEP,3264,42888.25,35465.4281802069,7245.63848645981,2.21986473237127
EDDF,2020-05,DEP,3873,48662.6333333333,39936.0652265877,8249.70144007894,2.13005459335888
EDDF,2020-06,DEP,4666,55544.7166666667,46673.3990001123,8672.75099988772,1.85871217314353
EDDF,2020-07,DEP,7700,92503.9,73219.670815683,19181.029184317,2.49104275121
EDDF,2020-08,DEP,8847,112021.516666667,83825.049793106,28120.4668735606,3.17853135227316
EDDF,2020-09,DEP,8473,103897.716666667,79094.5140059311,24755.4526607356,2.92168684772048
EDDF,2020-10,DEP,8556,106045.083333333,82246.3403394405,23593.9763272262,2.75759424114378
EDDF,2020-11,DEP,6405,81003.0666666667,65291.4544851599,15484.5788481734,2.4175767132199
EDDF,2020-12,DEP,6795,87961.7333333333,71118.7866425397,16708.2133574603,2.45889821301843
EDDF,2021-01,DEP,6618,93898.9,68860.9374736439,24942.0791930228,3.76882429631653
EDDF,2021-02,DEP,5557,75928.7166666667,58427.297794494,17143.5355388393,3.08503428807618
EDDF,2021-03,DEP,6837,85681.7,71037.2084862021,14598.3415137978,2.13519694512182
EDDF,2021-04,DEP,7739,95100.1666666667,78653.8645998467,16446.30206682,2.12511979155187
EDDF,2021-05,DEP,8477,104389.75,85820.9773950809,18535.0892715857,2.18651519070257
EDDF,2021-06,DEP,10011,125216.633333333,103364.718310875,21624.5650224582,2.16008041379065
EDDF,2021-07,DEP,13793,174725.433333333,142175.351819672,32510.2648469942,2.35701187899617
EDDF,2021-08,DEP,14444,188075.516666667,149227.698056302,38705.1019436985,2.67966643199242
EDDF,2021-09,DEP,14069,189752.75,145948.458714313,38617.0579523541,2.74483317594386
EDDF,2021-10,DEP,15006,198552.466666667,156173.84003062,41768.7599693795,2.78347060971475
EDDF,2021-11,DEP,14438,191663.383333333,148897.902094476,42538.7979055237,2.94630820789055
EDDF,2021-12,DEP,13960,188985.333333333,144924.716685529,43726.0166478043,3.13223614955618
EDDM,2019-01,DEP,15692,271852,138395.297840969,133242.702159031,8.49112300274221
EDDM,2019-02,DEP,14940,215903,133625.880524343,81877.7318787582,5.48043720741353
EDDM,2019-03,DEP,17120,215094,151279.167883807,63647.8321161931,3.71774720304866
EDDM,2019-04,DEP,17028,214751,159479.500380562,55212.4996194376,3.24245358347648
EDDM,2019-05,DEP,18749,236268,167992.336622804,68154.6633771958,3.63510925261058
EDDM,2019-06,DEP,18200,234914,167324.598685385,67470.4013146154,3.70716490739645
EDDM,2019-07,DEP,18821,237678,167271.408212833,70259.5917871671,3.7330424412713
EDDM,2019-08,DEP,18051,227969,163137.02687846,64596.9731215403,3.57858141496539
EDDM,2019-09,DEP,18934,240207,170500.408231685,69596.591768315,3.67574689808361
EDDM,2019-10,DEP,18647,238802,167835.531106025,70790.0220854639,3.7963223084391
EDDM,2019-11,DEP,15765,201615,142274.992951626,59152.0070483739,3.75210954953212
EDDM,2019-12,DEP,15203,208616,137027.789052229,71296.2109477706,4.68961461210094
EDDM,2020-01,DEP,15375,210999,135598.391942488,75175.6080575125,4.88947044276504
EDDM,2020-02,DEP,14687,189639,128064.092409438,61315.9075905621,4.17484221356043
EDDM,2020-03,DEP,8635,99561,75282.0442009552,24234.9557990448,2.80659592345626
EDDM,2020-04,DEP,917,8391,7167.42991789998,1044.57008210002,1.13911677437298
EDDM,2020-05,DEP,1035,10435,9060.51877698569,1358.48122301431,1.31254224445827
EDDM,2020-06,DEP,2291,23568,19936.4867498704,3589.51325012965,1.56678884772136
EDDM,2020-07,DEP,4963,48638,40352.6201364096,8285.37986359041,1.66942975288946
EDDM,2020-08,DEP,6126,57488,48374.42496903,9103.57503096997,1.48605534295951
EDDM,2020-09,DEP,6367,59430,49579.6367666657,9850.36323333431,1.54709647138909
