REG,DATE,ARRS,DEPS,HEAVY,MED,LIGHT,ARRS_DOM,DEPS_DOM,OVR_FLTS,PAX,CARGO,OTHER
EUR,2019-01-01T00:00:00Z,17356,17503,2930,17154,291,15005,15005,521,19389,232,754
EUR,2019-01-02T00:00:00Z,23021,23030,3357,22107,937,20207,20207,558,23739,825,1838
EUR,2019-01-03T00:00:00Z,23315,23291,3450,22191,1147,20412,20412,595,23800,957,2032
EUR,2019-01-04T00:00:00Z,23822,23876,3581,22576,1147,20937,20937,544,24360,901,2044
EUR,2019-01-05T00:00:00Z,19850,19849,3575,19080,764,16796,16796,516,21286,426,1707
EUR,2019-01-06T00:00:00Z,22450,22371,3523,21802,687,19348,19348,540,23959,394,1660
EUR,2019-01-07T00:00:00Z,23703,23564,3399,22300,1191,20872,20872,496,24077,744,2070
EUR,2019-01-08T00:00:00Z,21542,21565,3427,20221,1131,18873,18873,546,21608,1019,2153
EUR,2019-01-09T00:00:00Z,22498,22471,3463,20972,1323,19750,19750,540,22250,1098,2411
EUR,2019-01-10T00:00:00Z,22717,22705,3476,21015,1539,19935,19935,544,22261,1101,2669
EUR,2019-01-11T00:00:00Z,23530,23586,3597,21947,1335,20736,20736,499,23472,1003,2404
EUR,2019-01-12T00:00:00Z,18295,18333,3464,17529,706,15431,15431,503,19673,489,1538
EUR,2019-01-13T00:00:00Z,20947,20924,3414,20349,612,18041,18041,546,22459,442,1475
EUR,2019-01-14T00:00:00Z,23372,23292,3392,21697,1361,20691,20691,478,23188,828,2435
EUR,2019-01-15T00:00:00Z,21262,21201,3280,19375,1613,18676,18676,482,20473,1074,2722
EUR,2019-01-16T00:00:00Z,22597,22612,3371,20582,1691,20055,20055,490,21677,1106,2861
EUR,2019-01-17T00:00:00Z,23246,23243,3404,21457,1547,20573,20573,493,22499,1097,2813
EUR,2019-01-18T00:00:00Z,24945,24985,3505,22988,1679,22223,22223,466,24226,1036,2911
EUR,2019-01-19T00:00:00Z,18350,18357,3436,17291,857,15584,15584,462,19439,493,1653
EUR,2019-01-20T00:00:00Z,21471,21403,3388,20457,870,18648,18648,490,22438,446,1832
EUR,2019-01-21T00:00:00Z,23907,23783,3341,22102,1495,21194,21194,443,23283,839,2817
EUR,2019-01-22T00:00:00Z,21833,21786,3269,20084,1434,19299,19299,467,21020,1072,2695
EUR,2019-01-23T00:00:00Z,22322,22366,3385,20616,1300,19840,19840,454,21612,1135,2555
EUR,2019-01-24T00:00:00Z,23278,23327,3389,21540,1522,20619,20619,466,22542,1111,2799
EUR,2019-01-25T00:00:00Z,24471,24562,3455,22896,1331,21797,21797,447,23946,1035,2702
EUR,2019-01-26T00:00:00Z,18138,18186,3422,17282,662,15408,15408,451,19468,495,1404
EUR,2019-01-27T00:00:00Z,21191,21219,3402,20461,615,18423,18423,492,22445,472,1562
EUR,2019-01-28T00:00:00Z,23467,23340,3355,21781,1281,20819,20819,430,23171,845,2402
EUR,2019-01-29T00:00:00Z,21971,21955,3279,20069,1540,19492,19492,455,21165,1079,2645
EUR,2019-01-30T00:00:00Z,22421,22441,3325,20549,1525,19945,19945,483,21555,1094,2751
EUR,2019-01-31T00:00:00Z,23374,23425,3395,21752,1428,20701,20701,478,22635,1136,2805
EUR,2019-02-01T00:00:00Z,24299,24307,3514,22823,1161,21569,21569,462,24004,1044,2451
EUR,2019-02-02T00:00:00Z,18566,18612,3410,17838,558,15804,15804,433,19901,509,1397
EUR,2019-02-03T00:00:00Z,20925,20892,3405,20029,737,18128,18128,483,22055,466,1651
EUR,2019-02-04T00:00:00Z,23650,23562,3310,21868,1430,21030,21030,427,23277,832,2500
EUR,2019-02-05T00:00:00Z,22275,22205,3265,20341,1565,19760,19760,452,21399,1083,2690
EUR,2019-02-06T00:00:00Z,23138,23148,3283,21080,1733,20644,20644,455,21967,1114,3016
EUR,2019-02-07T00:00:00Z,24026,24038,3289,22061,1796,21380,21380,463,22968,1096,3083
EUR,2019-02-08T00:00:00Z,25127,25195,3447,23289,1567,22475,22475,457,24489,979,2836
EUR,2019-02-09T00:00:00Z,19008,19049,3333,18099,794,16289,16289,459,20223,439,1565
EUR,2019-02-10T00:00:00Z,21538,21549,3333,20772,680,18776,18776,475,22823,408,1555
EUR,2019-02-11T00:00:00Z,24036,23937,3268,22295,1445,21406,21406,442,23710,777,2522
EUR,2019-02-12T00:00:00Z,22737,22740,3261,20653,1769,20243,20243,449,21803,982,2898
