AIRPORT,DATE,PHASE,N_VALID,N_M88M60,N_M60M55,N_M55M50,N_M50M45,N_M45M40,N_M40M35,N_M35M30,N_M30M25,N_M25M20,N_M20M15,N_M15M10,N_M10M05,N_M05M00,N_P00P05,N_P05P10,N_P10P15,N_P15P20,N_P20P25,N_P25P30,N_P30P35,N_P35P40,N_P40P45,N_P45P50,N_P50P55,N_P55P60,N_P60P88,EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
EDDF,2019-01-01T00:00:00Z,ARR,18794,674,117,135,182,235,325,372,513,718,1083,1520,2135,2582,2678,2266,1422,774,429,230,157,103,63,21,19,14,26,0.19447696073214857,0.13738427157603492,0.14249228477173567,0.1962328402681707,0.2798765563477706,0.6705863573480898
EDDF,2019-02-01T00:00:00Z,ARR,18418,471,64,72,86,120,168,228,362,483,739,1206,1868,2584,2940,2755,1880,1080,593,325,183,95,50,22,17,7,19,0.16690194375067868,0.14029753502008904,0.15962645238353784,0.2516559887067,0.2999239874036269,0.7184819198610055
EDDF,2019-03-01T00:00:00Z,ARR,21032,935,152,210,246,302,365,525,619,852,1156,1613,2213,2792,2889,2367,1655,874,495,297,183,119,62,52,22,9,28,0.18191327500950932,0.13275009509319133,0.13736211487257513,0.1912324077596044,0.27011220996576646,0.6432578927348802
EDDF,2019-04-01T00:00:00Z,ARR,21851,760,129,149,221,264,372,453,690,899,1304,1836,2612,3382,3361,2424,1448,745,340,205,97,64,39,18,16,6,17,0.20356047778133723,0.1547755251475905,0.15381447073360488,0.17720012814058853,0.30858999588119534,0.6893506018031211
EDDF,2019-05-01T00:00:00Z,ARR,23087,1181,197,213,286,359,493,602,771,1032,1506,2038,2638,3312,3220,2381,1397,649,351,203,103,47,38,18,15,10,27,0.20253822497509424,0.14345735695413003,0.13947243037207083,0.16364187638064712,0.2829297873262009,0.6491098886819422
EDDF,2019-06-01T00:00:00Z,ARR,22930,1385,227,217,362,382,481,616,805,1046,1404,1885,2657,3091,3022,2327,1350,711,405,212,147,87,41,25,16,10,19,0.1980811164413432,0.13480156999563891,0.1317924116877453,0.16035761011774968,0.2665939816833842,0.6250327082424771
EDDF,2019-07-01T00:00:00Z,ARR,23560,1371,186,249,282,337,448,555,782,987,1326,1817,2546,3060,3317,2582,1603,870,443,279,200,116,69,54,23,15,40,0.1851867572156197,0.1298811544991511,0.14078947368421052,0.17763157894736842,0.27067062818336163,0.6334889643463497
EDDF,2019-08-01T00:00:00Z,ARR,23198,1167,205,200,274,336,383,543,695,892,1195,1749,2431,3230,3516,2883,1631,788,432,257,157,88,52,33,27,6,28,0.18018794723683076,0.13923614104664195,0.15156479006810933,0.19458574015001293,0.29080093111475125,0.6655746185015949
EDDF,2019-09-01T00:00:00Z,ARR,23359,840,138,180,233,300,405,527,764,1002,1422,2061,2853,3430,3409,2594,1413,708,424,215,147,107,85,37,24,11,30,0.2103685945459994,0.146838477674558,0.14593946658675458,0.17153987756325184,0.29277794426131254,0.6746864163705638
EDDF,2019-10-01T00:00:00Z,ARR,22971,683,138,167,222,307,393,560,671,998,1387,1892,2806,3403,3413,2535,1471,848,436,246,145,68,49,47,24,16,46,0.2045187410212877,0.1481433111314266,0.14857864263636758,0.17439380087936965,0.2967219537677942,0.6756344956684516
EDDF,2019-11-01T00:00:00Z,ARR,19384,382,67,93,113,144,171,246,361,545,837,1235,1929,2644,3118,2837,1938,1215,582,355,241,128,64,55,28,13,43,0.16322740404457284,0.13640115559224103,0.1608543128353281,0.2463371853074701,0.2972554684275691,0.7068200577796121
EDDF,2019-12-01T00:00:00Z,ARR,18375,656,107,116,151,191,265,359,493,648,924,1334,1840,2347,2682,2318,1753,947,534,320,165,80,54,34,15,9,33,0.17273469387755103,0.12772789115646258,0.14595918367346938,0.22155102040816327,0.273687074829932,0.6679727891156463
EDDF,2020-01-01T00:00:00Z,ARR,18145,478,78,102,103,123,197,280,374,519,768,1176,1660,2384,2849,2749,1933,1111,562,307,162,95,51,34,14,11,25,0.156296500413337,0.13138605676494902,0.15701295122623313,0.2580325158445853,0.2883990079911821,0.7027280242491044
EDDF,2020-02-01T00:00:00Z,ARR,17929,545,82,119,125,168,201,286,372,532,760,1138,1649,2436,2863,2581,1724,963,529,308,187,119,86,45,34,25,51,0.1554464833509956,0.13586926208935243,0.1596854258463941,0.24011378214066595,0.2955546879357466,0.6911149534274081
EDDF,2020-03-01T00:00:00Z,ARR,11443,493,38,45,50,75,75,106,130,183,270,390,683,1135,1525,1837,1618,1099,669,393,215,156,84,51,27,21,75,0.09376911649043083,0.09918727606396924,0.13326924757493663,0.3019313117189548,0.23245652363890587,0.6281569518482916
EDDF,2020-04-01T00:00:00Z,ARR,3248,309,19,23,41,30,30,37,44,71,73,110,128,185,275,329,376,352,266,197,105,66,38,31,17,18,77,0.07327586206896551,0.05695812807881773,0.08466748768472906,0.2170566502463054,0.1416256157635468,0.4319581280788177
EDDF,2020-05-01T00:00:00Z,ARR,3887,318,26,24,34,36,44,74,47,76,89,139,181,305,392,428,407,354,267,207,121,93,65,46,30,20,64,0.08232570105479804,0.07846668381785439,0.1008489837921276,0.21481862618986364,0.179315667609982,0.4764599948546437
EDDF,2020-06-01T00:00:00Z,ARR,4663,223,15,19,22,29,33,41,54,92,138,179,253,355,501,553,588,476,321,227,172,102,101,50,34,26,59,0.09264422045893202,0.07613124597898349,0.1074415612266781,0.24469225820287369,0.1835728072056616,0.5209092858674673
EDDF,2020-07-01T00:00:00Z,ARR,7670,261,19,22,25,43,47,73,93,110,189,303,507,720,1078,1116,1056,742,441,292,179,106,69,63,37,21,58,0.10560625814863105,0.0938722294654498,0.1405475880052151,0.2831812255541069,0.23441981747066493,0.6232073011734028
EDDF,2020-08-01T00:00:00Z,ARR,8849,308,24,35,35,60,73,90,116,159,257,369,508,882,1235,1421,1144,846,501,308,149,123,78,36,27,19,46,0.09910724375635666,0.09967227935359928,0.1395637925189287,0.2898632613854673,0.23923607187252796,0.6282065770143519
EDDF,2020-09-01T00:00:00Z,ARR,8466,283,19,22,37,54,35,57,86,110,162,233,425,713,1120,1350,1265,1005,621,302,189,127,86,54,35,22,54,0.07772265532719112,0.08421922986061894,0.13229388140798487,0.3088825891802504,0.2165131112686038,0.6031183557760453
EDDF,2020-10-01T00:00:00Z,ARR,8548,334,20,22,46,45,55,68,105,148,217,315,539,845,1173,1340,1232,824,449,253,140,102,70,57,43,37,69,0.09990641085634068,0.09885353299017316,0.1372250818905007,0.30088909686476367,0.23607861488067383,0.6368741226017782
