ICAO,MOF,N,N_VALID,TXIT,REF,ADD_TXIT,AVG_ADD_TXIT
SBBR,2019-01-01T00:00:00Z,5283,5283,36349.099999999926,22696.500000000175,14480.45000000004,2.7409521105432595
SBBR,2019-02-01T00:00:00Z,4710,4710,34887.0999999999,21537.500000000065,13953.730000000032,2.962575371549901
SBBR,2019-03-01T00:00:00Z,5119,5119,36558.6,22311.500000000065,14977.100000000048,2.925786286384069
SBBR,2019-04-01T00:00:00Z,4803,4803,30672.300000000014,20911.50000000012,10493.280000000002,2.1847345409119305
SBBR,2019-05-01T00:00:00Z,4807,4807,27617.099999999995,20466.400000000052,7771.910000000029,1.6167900977740854
SBBR,2019-06-01T00:00:00Z,4426,4426,23895.699999999993,18703.800000000076,5904.249999999999,1.3339923181201987
SBBR,2019-07-01T00:00:00Z,2671,2671,15036.700000000008,11862.500000000013,3588.600000000002,1.3435417446649203
SBBR,2019-08-01T00:00:00Z,4775,4775,33603.69999999998,19900.600000000086,14610.390000000067,3.0597675392670296
SBBR,2019-09-01T00:00:00Z,4848,4848,26790.500000000062,20550.70000000019,7127.430000000005,1.4701794554455456
SBBR,2019-10-01T00:00:00Z,5116,5116,39848.699999999975,22227.90000000016,18600.68999999998,3.6357877247849846
SBBR,2019-11-01T00:00:00Z,5125,5125,32603.00000000004,23350.200000000154,10064.420000000018,1.9637892682926865
SBBR,2019-12-01T00:00:00Z,5192,5192,39700.59999999987,23225.80000000021,17237.420000000035,3.3199961479198836
SBBR,2020-01-01T00:00:00Z,5314,5314,49205.80000000003,25167.200000000226,25674.78999999992,4.831537448249891
SBBR,2020-02-01T00:00:00Z,4669,4669,28798.300000000054,20658.10000000012,8887.860000000008,1.903589633754553
SBBR,2020-03-01T00:00:00Z,3676,3676,22653.300000000014,15970.099999999975,7304.700000000014,1.987132752992387
SBBR,2020-04-01T00:00:00Z,512,512,2996.4000000000033,2592.200000000006,570.48,1.11421875
SBBR,2020-05-01T00:00:00Z,290,290,1616.1999999999978,1205.3000000000006,487.80000000000007,1.6820689655172416
SBBR,2020-06-01T00:00:00Z,486,486,2783.700000000002,2469.400000000001,449.4499999999998,0.9247942386831272
SBBR,2020-07-01T00:00:00Z,1099,1099,6010.800000000002,5015.099999999985,1162.0100000000002,1.0573339399454051
SBBR,2020-08-01T00:00:00Z,1622,1622,8995.999999999998,7150.899999999979,2030.9899999999966,1.2521516646115884
SBBR,2020-09-01T00:00:00Z,2451,2451,13922.599999999997,10422.799999999994,3748.4500000000025,1.5293553651570797
SBBR,2020-10-01T00:00:00Z,3103,3103,18557.80000000004,13685.199999999935,5204.260000000001,1.6771704801804708
SBBR,2020-11-01T00:00:00Z,3103,3103,19118.699999999993,13696.499999999955,5705.93000000001,1.8388430551079633
SBBR,2020-12-01T00:00:00Z,3719,3719,22624.400000000034,16191.19999999996,6824.69000000002,1.835087389083092
SBBR,2021-01-01T00:00:00Z,3666,3666,21645.7,15715.699999999952,6287.9600000000055,1.7152100381887632
SBBR,2021-02-01T00:00:00Z,2796,2796,17387.800000000007,12666.999999999969,5011.269999999996,1.7922997138769656
SBBR,2021-03-01T00:00:00Z,2399,2399,13405.09999999999,10402.899999999974,3286.9600000000073,1.3701375573155512
SBBR,2021-04-01T00:00:00Z,1679,1679,9359.099999999975,7514.399999999993,2074.09,1.2353126861226922
SBBR,2021-05-01T00:00:00Z,2318,2318,12672.500000000033,10089.199999999977,2922.1200000000026,1.260621225194134
SBBR,2021-06-01T00:00:00Z,2666,2666,14875.800000000021,11458.399999999963,3730.3099999999936,1.399216054013501
SBBR,2021-07-01T00:00:00Z,3481,3481,19479.300000000014,14968.600000000015,4894.279999999999,1.4059982763573682
SBBR,2021-08-01T00:00:00Z,3522,3522,20056.400000000016,14898.700000000033,5520.390000000008,1.5674020442930174
SBBR,2021-09-01T00:00:00Z,3912,3912,22797.099999999984,16788.600000000006,6380.979999999976,1.6311298568507095
SBBR,2021-10-01T00:00:00Z,4031,4031,25047.799999999977,17707.89999999997,7712.039999999998,1.9131828330439093
SBBR,2021-11-01T00:00:00Z,4181,4181,26269.499999999975,19111.099999999926,7594.730000000011,1.8164864864864891
SBBR,2021-12-01T00:00:00Z,4680,4680,29570.700000000023,21060.700000000063,8984.090000000024,1.9196773504273554
SBBR,2022-01-01T00:00:00Z,4528,4528,27653.89999999995,20421.40000000007,7711.010000000022,1.7029615724381675
SBBR,2022-02-01T00:00:00Z,3520,3520,21983.900000000012,15925.599999999939,6385.15,1.8139630681818182
