ICAO,MOF,N,N_VALID,TXOT,REF,ADD_TXOT,AVG_ADD_TXOT
SBBR,2019-01-01T00:00:00Z,5282,5282,81884.9999999999,65537.99999999978,19275.87000000004,3.6493506247633545
SBBR,2019-02-01T00:00:00Z,4668,4668,73253.99999999993,57121.89999999992,18322.739999999998,3.9251799485861176
SBBR,2019-03-01T00:00:00Z,5094,5094,81898.09999999998,62729.09999999994,21189.38000000003,4.159674126423249
SBBR,2019-04-01T00:00:00Z,4742,4742,77435.50000000019,58804.79999999981,19827.86999999998,4.181330662167857
SBBR,2019-05-01T00:00:00Z,4762,4762,75504.50000000025,59531.29999999984,17085.10000000002,3.587799244015124
SBBR,2019-06-01T00:00:00Z,4405,4405,68342.29999999994,55142.199999999924,14250.600000000024,3.235096481271288
SBBR,2019-07-01T00:00:00Z,5206,5206,81084.89999999975,65016.599999999766,17117.01000000002,3.287938916634656
SBBR,2019-08-01T00:00:00Z,4730,4730,78464.29999999999,58917.60000000015,21710.57,4.589972515856236
SBBR,2019-09-01T00:00:00Z,4824,4824,76911.5999999999,59552.500000000044,18517.769999999997,3.8386753731343277
SBBR,2019-10-01T00:00:00Z,5071,5071,84644.49999999996,62194.79999999977,25421.37999999998,5.013090120291851
SBBR,2019-11-01T00:00:00Z,5040,5040,82925.6999999996,61465.89999999961,22393.820000000032,4.4432182539682605
SBBR,2019-12-01T00:00:00Z,5082,5082,81920.10000000006,62063.09999999951,22571.090000000022,4.441379378197564
SBBR,2020-01-01T00:00:00Z,5264,5264,90816.89999999982,63249.49999999972,31493.39999999997,5.982788753799386
SBBR,2020-02-01T00:00:00Z,4601,4601,74113.70000000036,56481.50000000002,18573.099999999966,4.03675287980873
SBBR,2020-03-01T00:00:00Z,3630,3630,58607.39999999992,45059.79999999996,14547.800000000017,4.0076584022038615
SBBR,2020-04-01T00:00:00Z,240,240,3114.3000000000015,2832.1999999999985,463.59999999999974,1.9316666666666655
SBBR,2020-05-01T00:00:00Z,293,293,4173.499999999998,3607.500000000007,666.7599999999995,2.2756313993174047
SBBR,2020-06-01T00:00:00Z,480,480,6161.400000000004,5567.200000000004,845.1099999999998,1.7606458333333328
SBBR,2020-07-01T00:00:00Z,1093,1093,15739.79999999998,12752.80000000002,3421.450000000002,3.1303293687099742
SBBR,2020-08-01T00:00:00Z,1618,1618,24869.199999999993,19016.10000000002,6297.160000000002,3.89194066749073
SBBR,2020-09-01T00:00:00Z,2421,2421,40406.300000000025,28460.900000000092,12422.369999999968,5.131090458488215
SBBR,2020-10-01T00:00:00Z,3094,3094,52791.20000000016,36645.30000000015,16641.370000000014,5.3785940530058225
SBBR,2020-11-01T00:00:00Z,3051,3051,49238.60000000008,36253.400000000205,13643.569999999998,4.471835463782366
SBBR,2020-12-01T00:00:00Z,3645,3645,58826.499999999905,43282.99999999984,16090.680000000026,4.4144526748971264
SBBR,2021-01-01T00:00:00Z,3604,3604,56168.999999999935,42348.79999999999,14487.110000000011,4.019730854605997
SBBR,2021-02-01T00:00:00Z,2710,2710,40205.10000000005,32281.400000000252,8463.970000000025,3.123236162361633
SBBR,2021-03-01T00:00:00Z,2342,2342,35061.50000000004,28202.00000000005,7400.919999999998,3.160085397096498
SBBR,2021-04-01T00:00:00Z,1683,1683,25277.99999999994,20327.30000000007,5327.45,3.1654486036838976
SBBR,2021-05-01T00:00:00Z,2292,2292,34720.99999999996,28152.50000000014,7021.4999999999945,3.063481675392668
SBBR,2021-06-01T00:00:00Z,2595,2595,39415.899999999965,31627.50000000016,8313.07000000001,3.20349518304432
SBBR,2021-07-01T00:00:00Z,3434,3434,50967.699999999815,41174.80000000013,10546.970000000012,3.07133663366337
SBBR,2021-08-01T00:00:00Z,3482,3482,53103.19999999984,41955.19999999997,11851.710000000006,3.4037076392877674
SBBR,2021-09-01T00:00:00Z,3885,3885,59557.20000000005,46725.700000000055,13542.660000000049,3.4858841698841827
SBBR,2021-10-01T00:00:00Z,4003,4003,61322.40000000001,47588.40000000019,14464.57999999995,3.6134349238071324
SBBR,2021-11-01T00:00:00Z,4154,4154,64785.69999999989,49515.90000000008,16011.279999999982,3.85442465093885
SBBR,2021-12-01T00:00:00Z,4626,4626,73000.79999999977,55562.00000000016,18185.10000000007,3.931063553826215
SBBR,2022-01-01T00:00:00Z,4492,4492,68269.39999999998,53749.700000000215,15437.349999999973,3.436631789848614
SBBR,2022-02-01T00:00:00Z,3465,3465,53636.699999999975,41458.700000000004,12736.56000000001,3.675774891774895
SBBR,2022-03-01T00:00:00Z,3827,3827,60570.500000000095,46627.69999999992,14497.230000000029,3.788144760909336
SBBR,2022-04-01T00:00:00Z,3581,3581,56494.99999999986,43780.199999999946,13496.030000000022,3.7687880480312823
SBBR,2022-05-01T00:00:00Z,3889,3889,62308.3999999999,47576.79999999985,15500.61000000003,3.9857572640781767
SBBR,2022-06-01T00:00:00Z,3675,3675,57912.500000000124,45208.299999999865,13450.030000000048,3.6598721088435506
SBCF,2019-01-01T00:00:00Z,4202,4202,61631.10000000008,44256.299999999515,18375.93999999999,4.373141361256542
SBCF,2019-02-01T00:00:00Z,3777,3777,57276.600000000064,39840.79999999966,18459.379999999965,4.88731268202276
SBCF,2019-03-01T00:00:00Z,3958,3958,56625.10000000005,41561.29999999981,16264.91999999997,4.109378473976748
SBCF,2019-04-01T00:00:00Z,3850,3850,56849.59999999972,40484.89999999975,17163.579999999998,4.458072727272727
