DATE,MVTS,MVTS_ROLLAVG
2019-01-01T00:00:00Z,23495,NA
2019-01-02T00:00:00Z,26402,NA
2019-01-03T00:00:00Z,26789,NA
2019-01-04T00:00:00Z,27305,25759.14285714286
2019-01-05T00:00:00Z,23419,25942.714285714286
2019-01-06T00:00:00Z,26013,25850.85714285714
2019-01-07T00:00:00Z,26891,25742.571428571428
2019-01-08T00:00:00Z,24780,25681.714285714286
2019-01-09T00:00:00Z,25759,25436.14285714286
2019-01-10T00:00:00Z,26031,25202.285714285714
2019-01-11T00:00:00Z,26879,25139.428571428572
2019-01-12T00:00:00Z,21700,25066.428571428572
2019-01-13T00:00:00Z,24376,25050
2019-01-14T00:00:00Z,26451,25104
2019-01-15T00:00:00Z,24269,25288.85714285714
2019-01-16T00:00:00Z,25644,25272.428571428572
2019-01-17T00:00:00Z,26409,25321
2019-01-18T00:00:00Z,28173,25390.714285714286
2019-01-19T00:00:00Z,21585,25464.85714285714
2019-01-20T00:00:00Z,24716,25416
2019-01-21T00:00:00Z,26939,25422.14285714286
2019-01-22T00:00:00Z,24788,25352.14285714286
2019-01-23T00:00:00Z,25302,25321
2019-01-24T00:00:00Z,26452,25287.14285714286
2019-01-25T00:00:00Z,27683,25212.714285714286
2019-01-26T00:00:00Z,21367,25227.14285714286
2019-01-27T00:00:00Z,24479,25241.14285714286
2019-01-28T00:00:00Z,26418,25258.85714285714
2019-01-29T00:00:00Z,24889,25649.571428571428
2019-01-30T00:00:00Z,25400,25712.428571428572
2019-01-31T00:00:00Z,26576,25668.571428571428
2019-02-01T00:00:00Z,30418,25695.85714285714
2019-02-02T00:00:00Z,21807,25736.285714285714
2019-02-03T00:00:00Z,24172,25835.85714285714
2019-02-04T00:00:00Z,26609,25917.428571428572
2019-02-05T00:00:00Z,25172,25615.428571428572
2019-02-06T00:00:00Z,26097,25675.428571428572
2019-02-07T00:00:00Z,27147,25763.14285714286
2019-02-08T00:00:00Z,28304,25820.285714285714
2019-02-09T00:00:00Z,22227,25893.285714285714
2019-02-10T00:00:00Z,24786,25846.571428571428
2019-02-11T00:00:00Z,27009,25925
2019-02-12T00:00:00Z,25683,26069
2019-02-13T00:00:00Z,25770,26262.85714285714
2019-02-14T00:00:00Z,27696,26417
2019-02-15T00:00:00Z,29312,26460.571428571428
2019-02-16T00:00:00Z,23584,26502.714285714286
2019-02-17T00:00:00Z,25865,26594.14285714286
2019-02-18T00:00:00Z,27314,26615.571428571428
2019-02-19T00:00:00Z,25978,26550.428571428572
2019-02-20T00:00:00Z,26410,26559
2019-02-21T00:00:00Z,27846,26632.14285714286
2019-02-22T00:00:00Z,28856,26712.14285714286
2019-02-23T00:00:00Z,23644,26777
2019-02-24T00:00:00Z,26377,26883.571428571428
2019-02-25T00:00:00Z,27874,26937.285714285714
2019-02-26T00:00:00Z,26432,27444.714285714286
2019-02-27T00:00:00Z,27156,27440.14285714286
2019-02-28T00:00:00Z,28222,27369.85714285714
2019-03-01T00:00:00Z,32408,27317.14285714286
2019-03-02T00:00:00Z,23612,27347.714285714286
2019-03-03T00:00:00Z,25885,27392.428571428572
2019-03-04T00:00:00Z,27505,27394.85714285714
2019-03-05T00:00:00Z,26646,26955.571428571428
2019-03-06T00:00:00Z,27469,26913
2019-03-07T00:00:00Z,28239,26911.85714285714
2019-03-08T00:00:00Z,29333,27029
2019-03-09T00:00:00Z,23314,27069.14285714286
2019-03-10T00:00:00Z,25877,27012
2019-03-11T00:00:00Z,28325,27019.14285714286
2019-03-12T00:00:00Z,26927,27068.571428571428
2019-03-13T00:00:00Z,27069,27091
2019-03-14T00:00:00Z,28289,27125.714285714286
2019-03-15T00:00:00Z,29679,27159.571428571428
2019-03-16T00:00:00Z,23471,27157.428571428572
2019-03-17T00:00:00Z,26120,27294.571428571428
2019-03-18T00:00:00Z,28562,27372.428571428572
2019-03-19T00:00:00Z,26912,27430.285714285714
2019-03-20T00:00:00Z,28029,27429.85714285714
2019-03-21T00:00:00Z,28834,27476
2019-03-22T00:00:00Z,30084,27425.14285714286
2019-03-23T00:00:00Z,23468,27489
2019-03-24T00:00:00Z,26443,27485.428571428572
2019-03-25T00:00:00Z,28206,27495
2019-03-26T00:00:00Z,27359,27485.85714285714
2019-03-27T00:00:00Z,28004,27518.285714285714
2019-03-28T00:00:00Z,28901,27689.428571428572
2019-03-29T00:00:00Z,30020,28515.285714285714
2019-03-30T00:00:00Z,23695,28887.428571428572
2019-03-31T00:00:00Z,27641,29257.285714285714
2019-04-01T00:00:00Z,33987,29569
2019-04-02T00:00:00Z,29964,29829.14285714286
2019-04-03T00:00:00Z,30593,30150.714285714286
2019-04-04T00:00:00Z,31083,30236.14285714286
2019-04-05T00:00:00Z,31841,29736.85714285714
2019-04-06T00:00:00Z,25946,29747.285714285714
2019-04-07T00:00:00Z,28239,29807.85714285714
2019-04-08T00:00:00Z,30492,29903.714285714286
2019-04-09T00:00:00Z,30037,30042.571428571428
2019-04-10T00:00:00Z,31017,30252
2019-04-11T00:00:00Z,31754,30358
2019-04-12T00:00:00Z,32813,30383
2019-04-13T00:00:00Z,27412,30390.285714285714
2019-04-14T00:00:00Z,28981,30400.285714285714
2019-04-15T00:00:00Z,30667,30411.428571428572
2019-04-16T00:00:00Z,30088,29968.285714285714
2019-04-17T00:00:00Z,31087,29874.428571428572
2019-04-18T00:00:00Z,31832,29705.428571428572
2019-04-19T00:00:00Z,29711,29554.14285714286
2019-04-20T00:00:00Z,26755,29671.285714285714
2019-04-21T00:00:00Z,27798,29674.571428571428
2019-04-22T00:00:00Z,29608,29682.14285714286
2019-04-23T00:00:00Z,30908,29994.85714285714
2019-04-24T00:00:00Z,31110,30131
2019-04-25T00:00:00Z,31885,30374
2019-04-26T00:00:00Z,31900,30588.571428571428
